State,MMR_rates
Alabama,95.4
Alaska,88.4
Arizona,87.7
Arkansas,90.5
California,91.4
Colorado,89.3
Connecticut,97.8
Delaware,94.0
Dist. of Columbia,94.7
Florida,94.1
Georgia,91.5
Hawaii,93.2
Idaho,87.2
Illinois,90.5
Indiana,92.3
Iowa,93.8
Kansas,90.0
Kentucky,89.5
Louisiana,89.7
Maine,90.9
Maryland,90.5
Massachusetts,92.3
Michigan,91.1
Minnesota,92.7
Mississippi,93.8
Missouri,90.4
Montana,85.1
Nebraska,94.2
Nevada,87.0
New Hampshire,95.8
New Jersey,86.1
New Mexico,88.8
New York,89.3
North Carolina,94.5
North Dakota,92.6
Ohio,93.6
Oklahoma,91.0
Oregon,92.8
Pennsylvania,92.3
Rhode Island,95.8
South Carolina,91.7
South Dakota,92.1
Tennessee,93.9
Texas,91.8
Utah,85.5
Vermont,92.7
Virginia,92.3
Washington,89.8
West Virginia,92.0
Wisconsin,93.2
Wyoming,92.5
