state,mmr_rates_2013,mmr_rates_2012,mmr_rates_2011,mmr_rates_2010,mmr_rates_2009,mmr_rates_2008
Alabama,89.7,93.1,94.0,95.4,95.4,93.6
Alaska,90.5,86.2,90.8,88.4,85.2,88.4
Arizona,91.4,88.3,86.7,87.7,90.8,92.2
Arkansas,88.3,92.3,93.7,90.5,81.8,92.2
California,90.7,91.5,91.0,91.4,89.8,92.7
Colorado,86.0,91.5,88.4,89.3,83.6,92.3
Connecticut,91.4,94.8,95.0,97.8,93.7,95.3
Delaware,94.8,94.4,90.6,94.0,90.2,93.1
Dist. of Columbia,96.2,93.0,93.5,94.7,91.2,89.7
Florida,93.4,91.0,90.8,94.1,91.2,91.7
Georgia,93.9,91.9,94.1,91.5,91.3,92.7
Hawaii,92.8,95.0,94.2,93.2,86.7,94.8
Idaho,91.1,93.3,89.5,87.2,88.1,86.1
Illinois,91.4,91.6,90.8,90.5,88.2,91.0
Indiana,92.0,90.0,90.6,92.3,86.6,88.0
Iowa,94.5,93.3,86.7,93.8,93.2,91.4
Kansas,89.4,88.5,91.0,90.0,92.5,91.9
Kentucky,89.5,89.2,91.4,89.5,88.9,90.2
Louisiana,88.1,90.5,92.6,89.7,94.4,94.2
Maine,91.0,91.2,90.3,90.9,91.4,91.8
Maryland,95.3,92.5,95.2,90.5,89.7,94.5
Massachusetts,95.8,93.7,93.1,92.3,93.7,94.4
Michigan,89.2,91.4,87.6,91.1,90.9,88.1
Minnesota,90.8,90.1,96.0,92.7,93.6,91.8
Mississippi,95.2,93.4,89.6,93.8,91.6,89.3
Missouri,89.8,92.7,88.2,90.4,88.8,91.7
Montana,87.3,91.5,87.8,85.1,87.2,85.9
Nebraska,92.5,89.0,95.3,94.2,93.6,91.9
Nevada,90.4,89.8,90.5,87.0,86.3,88.0
New Hampshire,96.3,93.7,92.0,95.8,92.0,94.8
New Jersey,95.6,94.8,91.3,86.1,86.9,89.9
New Mexico,89.1,88.8,93.1,88.8,89.1,90.6
New York,95.5,90.2,91.0,89.3,90.3,92.2
North Carolina,96.0,89.0,92.3,94.5,92.9,92.2
North Dakota,91.4,90.6,95.8,92.6,94.4,90.6
Ohio,86.0,90.3,93.3,93.6,89.4,93.9
Oklahoma,89.8,90.0,94.0,91.0,94.2,92.3
Oregon,89.4,87.3,90.6,92.8,88.1,92.0
Pennsylvania,93.3,87.0,92.8,92.3,89.3,92.2
Rhode Island,95.6,94.3,96.6,95.8,90.8,93.7
South Carolina,89.2,93.2,89.3,91.7,86.9,88.5
South Dakota,93.1,93.3,89.2,92.1,92.8,93.7
Tennessee,92.3,92.2,91.1,93.9,94.7,95.6
Texas,92.7,89.7,94.3,91.8,88.5,93.7
Utah,92.6,87.3,88.8,85.5,91.3,90.8
Vermont,91.2,91.7,95.3,92.7,91.9,88.1
Virginia,88.6,94.3,89.0,92.3,85.8,92.3
Washington,93.5,84.8,89.3,89.8,90.8,91.2
West Virginia,86.0,84.6,85.8,92.0,89.2,88.3
Wisconsin,93.2,89.3,94.9,93.2,94.4,94.3
Wyoming,89.0,91.2,85.6,92.5,91.3,87.6
