state_name,year,cases
ALABAMA,1966,321
ALABAMA,1967,291
ALABAMA,1968,314
ALABAMA,1969,380
ALABAMA,1970,413
ALABAMA,1971,378
ALABAMA,1972,342
ALABAMA,1973,467
ALABAMA,1974,244
ALABAMA,1975,286
ALABAMA,1976,220
ALABAMA,1977,206
ALABAMA,1978,203
ALABAMA,1979,257
ALABAMA,1980,200
ALABAMA,1981,138
ALABAMA,1982,128
ALABAMA,1983,178
ALABAMA,1984,115
ALABAMA,1985,37
ALABAMA,1986,51
ALABAMA,1987,81
ALABAMA,1988,13
ALABAMA,1989,56
ALABAMA,1990,86
ALABAMA,1991,39
ALABAMA,1992,35
ALABAMA,1993,40
ALABAMA,1994,72
ALABAMA,1995,75
ALABAMA,1996,196
ALABAMA,1997,40
ALABAMA,1998,64
ALABAMA,1999,52
ALABAMA,2000,53
ALABAMA,2001,66
ALABAMA,2002,35
ALABAMA,2003,14
ALABAMA,2004,6
ALABAMA,2005,34
ALABAMA,2006,17
ALABAMA,2007,20
ALABAMA,2008,10
ALABAMA,2009,10
ALABAMA,2010,8
ALABAMA,2011,7
ALASKA,1966,90
ALASKA,1967,39
ALASKA,1968,84
ALASKA,1969,63
ALASKA,1970,113
ALASKA,1971,96
ALASKA,1972,199
ALASKA,1973,225
ALASKA,1974,248
ALASKA,1975,409
ALASKA,1976,1094
ALASKA,1977,551
ALASKA,1978,125
ALASKA,1979,61
ALASKA,1980,18
ALASKA,1981,45
ALASKA,1982,17
ALASKA,1983,43
ALASKA,1984,14
ALASKA,1985,18
ALASKA,1986,66
ALASKA,1987,240
ALASKA,1988,268
ALASKA,1989,494
ALASKA,1990,167
ALASKA,1991,80
ALASKA,1992,65
ALASKA,1993,374
ALASKA,1994,163
ALASKA,1995,38
ALASKA,1996,46
ALASKA,1997,20
ALASKA,1998,6
ALASKA,1999,7
ALASKA,2000,8
ALASKA,2001,10
ALASKA,2002,11
ALASKA,2003,8
ALASKA,2004,4
ALASKA,2005,3
ALASKA,2007,3
ALASKA,2008,3
ALASKA,2009,6
ALASKA,2010,4
ALASKA,2011,1
ARIZONA,1966,415
ARIZONA,1967,390
ARIZONA,1968,425
ARIZONA,1969,528
ARIZONA,1970,615
ARIZONA,1971,896
ARIZONA,1972,660
ARIZONA,1973,160
ARIZONA,1974,512
ARIZONA,1975,437
ARIZONA,1976,560
ARIZONA,1977,929
ARIZONA,1978,1137
ARIZONA,1979,1788
ARIZONA,1980,635
ARIZONA,1981,434
ARIZONA,1982,514
ARIZONA,1983,845
ARIZONA,1984,721
ARIZONA,1985,1013
ARIZONA,1986,1015
ARIZONA,1987,1925
ARIZONA,1988,972
ARIZONA,1989,2009
ARIZONA,1990,1645
ARIZONA,1991,837
ARIZONA,1992,761
ARIZONA,1993,662
ARIZONA,1994,934
ARIZONA,1995,990
ARIZONA,1996,1397
ARIZONA,1997,1078
ARIZONA,1998,1224
ARIZONA,1999,601
ARIZONA,2000,399
ARIZONA,2001,341
ARIZONA,2002,313
ARIZONA,2003,237
ARIZONA,2004,210
ARIZONA,2005,240
ARIZONA,2006,69
ARIZONA,2007,163
ARIZONA,2008,101
ARIZONA,2009,72
ARIZONA,2010,72
ARIZONA,2011,19
ARKANSAS,1966,299
ARKANSAS,1967,295
ARKANSAS,1968,166
ARKANSAS,1969,189
ARKANSAS,1970,212
ARKANSAS,1971,236
ARKANSAS,1972,278
ARKANSAS,1973,141
ARKANSAS,1974,444
ARKANSAS,1975,409
ARKANSAS,1976,449
ARKANSAS,1977,406
ARKANSAS,1978,204
ARKANSAS,1979,260
ARKANSAS,1980,240
ARKANSAS,1981,215
ARKANSAS,1982,74
ARKANSAS,1983,57
ARKANSAS,1984,98
ARKANSAS,1985,46
ARKANSAS,1986,87
ARKANSAS,1987,191
ARKANSAS,1988,135
ARKANSAS,1989,167
ARKANSAS,1990,420
ARKANSAS,1991,163
ARKANSAS,1992,83
ARKANSAS,1993,29
ARKANSAS,1994,85
ARKANSAS,1995,425
ARKANSAS,1996,446
ARKANSAS,1997,88
ARKANSAS,1998,63
ARKANSAS,1999,62
ARKANSAS,2000,95
ARKANSAS,2001,58
ARKANSAS,2002,50
ARKANSAS,2003,17
ARKANSAS,2004,52
ARKANSAS,2005,17
ARKANSAS,2006,23
ARKANSAS,2007,11
ARKANSAS,2008,4
ARKANSAS,2009,5
ARKANSAS,2010,0
ARKANSAS,2011,0
CALIFORNIA,1966,5933
CALIFORNIA,1967,7480
CALIFORNIA,1968,10821
CALIFORNIA,1969,9051
CALIFORNIA,1970,9422
CALIFORNIA,1971,9623
CALIFORNIA,1972,7190
CALIFORNIA,1973,6875
CALIFORNIA,1974,5547
CALIFORNIA,1975,5134
CALIFORNIA,1976,5590
CALIFORNIA,1977,4741
CALIFORNIA,1978,4301
CALIFORNIA,1979,4101
CALIFORNIA,1980,3673
CALIFORNIA,1981,5147
CALIFORNIA,1982,3726
CALIFORNIA,1983,3922
CALIFORNIA,1984,6021
CALIFORNIA,1985,5371
CALIFORNIA,1986,5802
CALIFORNIA,1987,5956
CALIFORNIA,1988,2717
CALIFORNIA,1989,4692
CALIFORNIA,1990,4870
CALIFORNIA,1991,3791
CALIFORNIA,1992,3594
CALIFORNIA,1993,2674
CALIFORNIA,1994,3367
CALIFORNIA,1995,5130
CALIFORNIA,1996,5547
CALIFORNIA,1997,4438
CALIFORNIA,1998,2803
CALIFORNIA,1999,2349
CALIFORNIA,2000,2261
CALIFORNIA,2001,1599
CALIFORNIA,2002,1364
CALIFORNIA,2003,1045
CALIFORNIA,2004,788
CALIFORNIA,2005,905
CALIFORNIA,2006,688
CALIFORNIA,2007,312
CALIFORNIA,2008,337
CALIFORNIA,2009,239
CALIFORNIA,2010,201
CALIFORNIA,2011,176
COLORADO,1966,292
COLORADO,1967,294
COLORADO,1968,715
COLORADO,1969,587
COLORADO,1970,915
COLORADO,1971,751
COLORADO,1972,639
COLORADO,1973,495
COLORADO,1974,256
COLORADO,1975,239
COLORADO,1976,426
COLORADO,1977,509
COLORADO,1978,446
COLORADO,1979,482
COLORADO,1980,591
COLORADO,1981,536
COLORADO,1982,331
COLORADO,1983,394
COLORADO,1984,544
COLORADO,1985,299
COLORADO,1986,151
COLORADO,1987,424
COLORADO,1988,117
COLORADO,1989,368
COLORADO,1990,278
COLORADO,1991,494
COLORADO,1992,587
COLORADO,1993,436
COLORADO,1994,403
COLORADO,1995,393
COLORADO,1996,362
COLORADO,1997,234
COLORADO,1998,261
COLORADO,1999,147
COLORADO,2000,170
COLORADO,2001,76
COLORADO,2002,77
COLORADO,2003,60
COLORADO,2004,56
COLORADO,2005,49
COLORADO,2006,24
COLORADO,2007,25
COLORADO,2008,23
COLORADO,2009,49
COLORADO,2010,34
COLORADO,2011,18
CONNECTICUT,1966,334
CONNECTICUT,1967,583
CONNECTICUT,1968,502
