state_name,year,disease,cases
ALABAMA,1928,MEASLES,8843
ALABAMA,1929,MEASLES,2959
ALABAMA,1930,MEASLES,4156
ALABAMA,1931,MEASLES,8934
ALABAMA,1932,MEASLES,270
ALABAMA,1933,MEASLES,1735
ALABAMA,1934,MEASLES,15849
ALABAMA,1935,MEASLES,7214
ALABAMA,1936,MEASLES,570
ALABAMA,1937,MEASLES,620
ALABAMA,1938,MEASLES,13841
ALABAMA,1939,MEASLES,5143
ALABAMA,1940,MEASLES,3280
ALABAMA,1941,MEASLES,8634
ALABAMA,1942,MEASLES,3712
ALABAMA,1943,MEASLES,3798
ALABAMA,1944,MEASLES,7086
ALABAMA,1945,MEASLES,759
ALABAMA,1946,MEASLES,3691
ALABAMA,1947,MEASLES,3745
ALABAMA,1948,MEASLES,2051
ALABAMA,1949,MEASLES,11066
ALABAMA,1950,MEASLES,1556
ALABAMA,1951,MEASLES,3158
ALABAMA,1952,MEASLES,10797
ALABAMA,1953,MEASLES,2869
ALABAMA,1954,MEASLES,8451
ALABAMA,1955,MEASLES,2125
ALABAMA,1956,MEASLES,7117
ALABAMA,1957,MEASLES,9320
ALABAMA,1958,MEASLES,7664
ALABAMA,1959,MEASLES,3467
ALABAMA,1960,MEASLES,2075
ALABAMA,1961,MEASLES,2588
ALABAMA,1962,MEASLES,2379
ALABAMA,1963,MEASLES,1165
ALABAMA,1964,MEASLES,18118
ALABAMA,1965,MEASLES,2346
ALABAMA,1966,MEASLES,1813
ALABAMA,1967,MEASLES,1346
ALABAMA,1968,MEASLES,159
ALABAMA,1969,MEASLES,12
ALABAMA,1970,MEASLES,487
ALABAMA,1971,MEASLES,1955
ALABAMA,1972,MEASLES,143
ALABAMA,1973,MEASLES,15
ALABAMA,1974,MEASLES,21
ALABAMA,1975,MEASLES,5
ALABAMA,1977,MEASLES,79
ALABAMA,1978,MEASLES,132
ALABAMA,1979,MEASLES,129
ALABAMA,1980,MEASLES,22
ALABAMA,1981,MEASLES,0
ALABAMA,1982,MEASLES,2
ALABAMA,1983,MEASLES,1
ALABAMA,1984,MEASLES,0
ALABAMA,1986,MEASLES,1
ALABAMA,1987,MEASLES,4
ALABAMA,1988,MEASLES,1
ALABAMA,1989,MEASLES,61
ALABAMA,1990,MEASLES,28
ALABAMA,1991,MEASLES,1
ALABAMA,1993,MEASLES,1
ALABAMA,1997,MEASLES,6
ALABAMA,1998,MEASLES,0
ALABAMA,2002,MEASLES,7
ALASKA,1954,MEASLES,1487
ALASKA,1955,MEASLES,537
ALASKA,1956,MEASLES,2511
ALASKA,1957,MEASLES,958
ALASKA,1958,MEASLES,1259
ALASKA,1959,MEASLES,1829
ALASKA,1960,MEASLES,1456
ALASKA,1961,MEASLES,1002
ALASKA,1962,MEASLES,1406
ALASKA,1963,MEASLES,1849
ALASKA,1964,MEASLES,1157
ALASKA,1965,MEASLES,215
ALASKA,1966,MEASLES,641
ALASKA,1967,MEASLES,148
ALASKA,1968,MEASLES,11
ALASKA,1969,MEASLES,20
ALASKA,1970,MEASLES,106
ALASKA,1971,MEASLES,63
ALASKA,1972,MEASLES,13
ALASKA,1973,MEASLES,5
ALASKA,1974,MEASLES,1
ALASKA,1976,MEASLES,11
ALASKA,1977,MEASLES,61
ALASKA,1978,MEASLES,2
ALASKA,1979,MEASLES,18
ALASKA,1980,MEASLES,6
ALASKA,1982,MEASLES,1
ALASKA,1988,MEASLES,1
ALASKA,1989,MEASLES,0
ALASKA,1990,MEASLES,27
ALASKA,1991,MEASLES,1
ALASKA,1992,MEASLES,4
ALASKA,1994,MEASLES,16
ALASKA,1996,MEASLES,68
ALASKA,1997,MEASLES,1
ALASKA,1998,MEASLES,16
ALASKA,2000,MEASLES,1
ARIZONA,1928,MEASLES,847
ARIZONA,1929,MEASLES,236
ARIZONA,1930,MEASLES,2024
ARIZONA,1931,MEASLES,2135
ARIZONA,1932,MEASLES,86
ARIZONA,1933,MEASLES,1261
ARIZONA,1934,MEASLES,1022
ARIZONA,1935,MEASLES,586
ARIZONA,1936,MEASLES,2328
ARIZONA,1937,MEASLES,3793
ARIZONA,1938,MEASLES,699
ARIZONA,1939,MEASLES,702
ARIZONA,1940,MEASLES,1697
ARIZONA,1941,MEASLES,3015
ARIZONA,1942,MEASLES,3884
ARIZONA,1943,MEASLES,1195
ARIZONA,1944,MEASLES,4495
ARIZONA,1945,MEASLES,558
ARIZONA,1946,MEASLES,3073
ARIZONA,1947,MEASLES,1467
ARIZONA,1948,MEASLES,4302
ARIZONA,1949,MEASLES,3795
ARIZONA,1950,MEASLES,2389
ARIZONA,1951,MEASLES,10609
ARIZONA,1952,MEASLES,3576
ARIZONA,1953,MEASLES,4988
ARIZONA,1954,MEASLES,4959
ARIZONA,1955,MEASLES,10107
ARIZONA,1956,MEASLES,6785
ARIZONA,1957,MEASLES,7886
ARIZONA,1958,MEASLES,9845
ARIZONA,1959,MEASLES,9067
ARIZONA,1960,MEASLES,4305
ARIZONA,1961,MEASLES,7868
ARIZONA,1962,MEASLES,6350
ARIZONA,1963,MEASLES,8878
ARIZONA,1964,MEASLES,6310
ARIZONA,1965,MEASLES,1593
ARIZONA,1966,MEASLES,5438
ARIZONA,1967,MEASLES,1022
ARIZONA,1968,MEASLES,245
ARIZONA,1969,MEASLES,542
ARIZONA,1970,MEASLES,1006
ARIZONA,1971,MEASLES,509
ARIZONA,1972,MEASLES,868
ARIZONA,1973,MEASLES,26
ARIZONA,1974,MEASLES,21
ARIZONA,1975,MEASLES,83
ARIZONA,1976,MEASLES,243
ARIZONA,1977,MEASLES,218
ARIZONA,1978,MEASLES,66
ARIZONA,1979,MEASLES,88
ARIZONA,1980,MEASLES,326
ARIZONA,1981,MEASLES,11
ARIZONA,1982,MEASLES,16
ARIZONA,1985,MEASLES,248
ARIZONA,1986,MEASLES,256
ARIZONA,1987,MEASLES,35
ARIZONA,1988,MEASLES,3
ARIZONA,1989,MEASLES,145
ARIZONA,1990,MEASLES,285
ARIZONA,1991,MEASLES,342
ARIZONA,1992,MEASLES,0
ARIZONA,1993,MEASLES,3
ARIZONA,1994,MEASLES,9
ARIZONA,1995,MEASLES,12
ARIZONA,1996,MEASLES,8
ARIZONA,1997,MEASLES,9
ARIZONA,1998,MEASLES,10
ARIZONA,1999,MEASLES,1
ARIZONA,2001,MEASLES,1
ARKANSAS,1928,MEASLES,8899
ARKANSAS,1929,MEASLES,1245
ARKANSAS,1930,MEASLES,994
ARKANSAS,1931,MEASLES,849
ARKANSAS,1932,MEASLES,99
ARKANSAS,1933,MEASLES,5438
ARKANSAS,1934,MEASLES,7222
ARKANSAS,1935,MEASLES,1518
ARKANSAS,1936,MEASLES,107
ARKANSAS,1937,MEASLES,322
ARKANSAS,1938,MEASLES,6881
ARKANSAS,1939,MEASLES,2410
ARKANSAS,1940,MEASLES,1414
ARKANSAS,1941,MEASLES,5393
ARKANSAS,1942,MEASLES,4602
ARKANSAS,1943,MEASLES,2998
ARKANSAS,1944,MEASLES,3669
ARKANSAS,1945,MEASLES,1226
ARKANSAS,1946,MEASLES,3028
ARKANSAS,1947,MEASLES,2399
ARKANSAS,1948,MEASLES,3802
ARKANSAS,1949,MEASLES,12313
ARKANSAS,1950,MEASLES,1739
ARKANSAS,1951,MEASLES,7625
ARKANSAS,1952,MEASLES,3470
ARKANSAS,1953,MEASLES,12948
ARKANSAS,1954,MEASLES,2619
ARKANSAS,1955,MEASLES,2994
ARKANSAS,1956,MEASLES,8637
ARKANSAS,1957,MEASLES,1358
ARKANSAS,1958,MEASLES,3002
ARKANSAS,1959,MEASLES,816
ARKANSAS,1960,MEASLES,1596
ARKANSAS,1961,MEASLES,1684
ARKANSAS,1962,MEASLES,1438
ARKANSAS,1963,MEASLES,1453
ARKANSAS,1964,MEASLES,1106
ARKANSAS,1965,MEASLES,1195
ARKANSAS,1966,MEASLES,1377
ARKANSAS,1967,MEASLES,1269
ARKANSAS,1968,MEASLES,3
ARKANSAS,1969,MEASLES,29
ARKANSAS,1970,MEASLES,33
ARKANSAS,1971,MEASLES,442
ARKANSAS,1972,MEASLES,13
ARKANSAS,1973,MEASLES,77
ARKANSAS,1974,MEASLES,14
ARKANSAS,1975,MEASLES,2
ARKANSAS,1976,MEASLES,20
ARKANSAS,1977,MEASLES,46
ARKANSAS,1978,MEASLES,22
ARKANSAS,1979,MEASLES,11
ARKANSAS,1980,MEASLES,18
ARKANSAS,1981,MEASLES,14
ARKANSAS,1983,MEASLES,1
ARKANSAS,1984,MEASLES,9
ARKANSAS,1986,MEASLES,286
ARKANSAS,1989,MEASLES,5
ARKANSAS,1990,MEASLES,41
ARKANSAS,1995,MEASLES,2
ARKANSAS,1997,MEASLES,3
ARKANSAS,1999,MEASLES,4
ARKANSAS,2000,MEASLES,1
CALIFORNIA,1928,MEASLES,3698
CALIFORNIA,1929,MEASLES,4024
CALIFORNIA,1930,MEASLES,43416
CALIFORNIA,1931,MEASLES,27807
CALIFORNIA,1932,MEASLES,12618
CALIFORNIA,1933,MEASLES,26551
CALIFORNIA,1934,MEASLES,25650
CALIFORNIA,1935,MEASLES,28799
CALIFORNIA,1936,MEASLES,49050
CALIFORNIA,1937,MEASLES,5107
CALIFORNIA,1938,MEASLES,18527
CALIFORNIA,1939,MEASLES,63748
CALIFORNIA,1940,MEASLES,26167
CALIFORNIA,1941,MEASLES,12624
CALIFORNIA,1942,MEASLES,94525
CALIFORNIA,1943,MEASLES,28929
CALIFORNIA,1944,MEASLES,53667
CALIFORNIA,1945,MEASLES,31721
CALIFORNIA,1946,MEASLES,54981
CALIFORNIA,1947,MEASLES,7372
CALIFORNIA,1948,MEASLES,49097
CALIFORNIA,1949,MEASLES,33161
CALIFORNIA,1950,MEASLES,14728
CALIFORNIA,1951,MEASLES,61055
CALIFORNIA,1952,MEASLES,39016
CALIFORNIA,1953,MEASLES,53771
CALIFORNIA,1954,MEASLES,60293
CALIFORNIA,1955,MEASLES,67434
CALIFORNIA,1956,MEASLES,32254
CALIFORNIA,1957,MEASLES,50403
CALIFORNIA,1958,MEASLES,35074
CALIFORNIA,1959,MEASLES,38951
CALIFORNIA,1960,MEASLES,22222
CALIFORNIA,1961,MEASLES,36853
CALIFORNIA,1962,MEASLES,28140
CALIFORNIA,1963,MEASLES,20028
CALIFORNIA,1964,MEASLES,32650
