state_name,year,cases
ALABAMA,1928,8843
ALABAMA,1929,2959
ALABAMA,1930,4156
ALABAMA,1931,8934
ALABAMA,1932,270
ALABAMA,1933,1735
ALABAMA,1934,15849
ALABAMA,1935,7214
ALABAMA,1936,570
ALABAMA,1937,620
ALABAMA,1938,13841
ALABAMA,1939,5143
ALABAMA,1940,3280
ALABAMA,1941,8634
ALABAMA,1942,3712
ALABAMA,1943,3798
ALABAMA,1944,7086
ALABAMA,1945,759
ALABAMA,1946,3691
ALABAMA,1947,3745
ALABAMA,1948,2051
ALABAMA,1949,11066
ALABAMA,1950,1556
ALABAMA,1951,3158
ALABAMA,1952,10797
ALABAMA,1953,2869
ALABAMA,1954,8451
ALABAMA,1955,2125
ALABAMA,1956,7117
ALABAMA,1957,9320
ALABAMA,1958,7664
ALABAMA,1959,3467
ALABAMA,1960,2075
ALABAMA,1961,2588
ALABAMA,1962,2379
ALABAMA,1963,1165
ALABAMA,1964,18118
ALABAMA,1965,2346
ALABAMA,1966,1813
ALABAMA,1967,1346
ALABAMA,1968,159
ALABAMA,1969,12
ALABAMA,1970,487
ALABAMA,1971,1955
ALABAMA,1972,143
ALABAMA,1973,15
ALABAMA,1974,21
ALABAMA,1975,5
ALABAMA,1977,79
ALABAMA,1978,132
ALABAMA,1979,129
ALABAMA,1980,22
ALABAMA,1981,0
ALABAMA,1982,2
ALABAMA,1983,1
ALABAMA,1984,0
ALABAMA,1986,1
ALABAMA,1987,4
ALABAMA,1988,1
ALABAMA,1989,61
ALABAMA,1990,28
ALABAMA,1991,1
ALABAMA,1993,1
ALABAMA,1997,6
ALABAMA,1998,0
ALABAMA,2002,7
ALASKA,1954,1487
ALASKA,1955,537
ALASKA,1956,2511
ALASKA,1957,958
ALASKA,1958,1259
ALASKA,1959,1829
ALASKA,1960,1456
ALASKA,1961,1002
ALASKA,1962,1406
ALASKA,1963,1849
ALASKA,1964,1157
ALASKA,1965,215
ALASKA,1966,641
ALASKA,1967,148
ALASKA,1968,11
ALASKA,1969,20
ALASKA,1970,106
ALASKA,1971,63
ALASKA,1972,13
ALASKA,1973,5
ALASKA,1974,1
ALASKA,1976,11
ALASKA,1977,61
ALASKA,1978,2
ALASKA,1979,18
ALASKA,1980,6
ALASKA,1982,1
ALASKA,1988,1
ALASKA,1989,0
ALASKA,1990,27
ALASKA,1991,1
ALASKA,1992,4
ALASKA,1994,16
ALASKA,1996,68
ALASKA,1997,1
ALASKA,1998,16
ALASKA,2000,1
ARIZONA,1928,847
ARIZONA,1929,236
ARIZONA,1930,2024
ARIZONA,1931,2135
ARIZONA,1932,86
ARIZONA,1933,1261
ARIZONA,1934,1022
ARIZONA,1935,586
ARIZONA,1936,2328
ARIZONA,1937,3793
ARIZONA,1938,699
ARIZONA,1939,702
ARIZONA,1940,1697
ARIZONA,1941,3015
ARIZONA,1942,3884
ARIZONA,1943,1195
ARIZONA,1944,4495
ARIZONA,1945,558
ARIZONA,1946,3073
ARIZONA,1947,1467
ARIZONA,1948,4302
ARIZONA,1949,3795
ARIZONA,1950,2389
ARIZONA,1951,10609
ARIZONA,1952,3576
ARIZONA,1953,4988
ARIZONA,1954,4959
ARIZONA,1955,10107
ARIZONA,1956,6785
ARIZONA,1957,7886
ARIZONA,1958,9845
ARIZONA,1959,9067
ARIZONA,1960,4305
ARIZONA,1961,7868
ARIZONA,1962,6350
ARIZONA,1963,8878
ARIZONA,1964,6310
ARIZONA,1965,1593
ARIZONA,1966,5438
ARIZONA,1967,1022
ARIZONA,1968,245
ARIZONA,1969,542
ARIZONA,1970,1006
ARIZONA,1971,509
ARIZONA,1972,868
ARIZONA,1973,26
ARIZONA,1974,21
ARIZONA,1975,83
ARIZONA,1976,243
ARIZONA,1977,218
ARIZONA,1978,66
ARIZONA,1979,88
ARIZONA,1980,326
ARIZONA,1981,11
ARIZONA,1982,16
