state_name,year,cases
ALABAMA,1968,548
ALABAMA,1969,234
ALABAMA,1970,392
ALABAMA,1971,1025
ALABAMA,1972,849
ALABAMA,1973,755
ALABAMA,1974,613
ALABAMA,1975,453
ALABAMA,1976,389
ALABAMA,1977,288
ALABAMA,1978,437
ALABAMA,1979,28
ALABAMA,1980,34
ALABAMA,1981,19
ALABAMA,1982,10
ALABAMA,1983,2
ALABAMA,1984,5
ALABAMA,1985,1
ALABAMA,1986,4
ALABAMA,1987,64
ALABAMA,1988,18
ALABAMA,1989,30
ALABAMA,1990,19
ALABAMA,1991,14
ALABAMA,1992,12
ALABAMA,1993,22
ALABAMA,1994,12
ALABAMA,1995,2
ALABAMA,1996,7
ALABAMA,1997,8
ALABAMA,1998,4
ALABAMA,1999,11
ALABAMA,2000,4
ALABAMA,2002,2
ALASKA,1968,718
ALASKA,1969,920
ALASKA,1970,290
ALASKA,1971,93
ALASKA,1972,255
ALASKA,1973,872
ALASKA,1974,149
ALASKA,1975,52
ALASKA,1976,38
ALASKA,1977,34
ALASKA,1978,15
ALASKA,1979,15
ALASKA,1980,16
ALASKA,1981,19
ALASKA,1982,18
ALASKA,1983,16
ALASKA,1984,17
ALASKA,1985,10
ALASKA,1986,10
ALASKA,1987,8
ALASKA,1988,14
ALASKA,1989,1
ALASKA,1990,4
ALASKA,1991,15
ALASKA,1992,3
ALASKA,1993,11
ALASKA,1994,4
ALASKA,1995,12
ALASKA,1996,3
ALASKA,1997,4
ALASKA,1998,2
ALASKA,1999,3
ALASKA,2000,8
ALASKA,2001,1
ARIZONA,1968,2014
ARIZONA,1969,2101
ARIZONA,1970,987
ARIZONA,1971,1245
ARIZONA,1972,976
ARIZONA,1973,164
ARIZONA,1978,27
ARIZONA,1979,65
ARIZONA,1980,43
ARIZONA,1981,38
ARIZONA,1982,63
ARIZONA,1983,90
ARIZONA,1984,203
ARIZONA,1985,124
ARIZONA,1986,201
ARIZONA,1987,189
ARIZONA,1988,141
ARIZONA,1989,130
ARIZONA,1990,123
ARIZONA,1991,137
ARIZONA,1992,60
ARIZONA,1993,21
ARIZONA,1994,96
ARIZONA,1995,6
ARIZONA,1996,1
ARIZONA,1997,33
ARIZONA,1998,6
ARIZONA,1999,8
ARIZONA,2000,6
ARIZONA,2001,1
ARIZONA,2002,0
ARKANSAS,1968,19
ARKANSAS,1969,89
ARKANSAS,1970,156
ARKANSAS,1971,158
ARKANSAS,1972,217
ARKANSAS,1973,337
ARKANSAS,1974,184
ARKANSAS,1975,185
ARKANSAS,1976,81
ARKANSAS,1977,151
ARKANSAS,1978,629
ARKANSAS,1979,641
ARKANSAS,1980,25
ARKANSAS,1981,7
ARKANSAS,1982,8
ARKANSAS,1983,2
ARKANSAS,1984,8
ARKANSAS,1985,7
ARKANSAS,1986,184
ARKANSAS,1987,289
ARKANSAS,1988,136
ARKANSAS,1989,204
ARKANSAS,1990,138
ARKANSAS,1991,44
ARKANSAS,1992,8
ARKANSAS,1993,4
ARKANSAS,1994,5
ARKANSAS,1995,10
ARKANSAS,1996,1
ARKANSAS,1997,0
ARKANSAS,1998,9
ARKANSAS,2000,5
ARKANSAS,2001,1
CALIFORNIA,1968,16895
CALIFORNIA,1969,8016
CALIFORNIA,1970,6225
CALIFORNIA,1971,7505
CALIFORNIA,1972,7108
CALIFORNIA,1973,5672
CALIFORNIA,1974,2494
CALIFORNIA,1975,3728
CALIFORNIA,1976,1768
CALIFORNIA,1977,831
CALIFORNIA,1978,527
CALIFORNIA,1979,449
CALIFORNIA,1980,407
CALIFORNIA,1981,402
CALIFORNIA,1982,413
CALIFORNIA,1983,306
CALIFORNIA,1984,360
CALIFORNIA,1985,382
CALIFORNIA,1986,291
CALIFORNIA,1987,347
CALIFORNIA,1988,430
CALIFORNIA,1989,361
CALIFORNIA,1990,484
CALIFORNIA,1991,389
CALIFORNIA,1992,216
CALIFORNIA,1993,165
CALIFORNIA,1994,143
CALIFORNIA,1995,205
CALIFORNIA,1996,102
CALIFORNIA,1997,115
CALIFORNIA,1998,64
CALIFORNIA,1999,54
CALIFORNIA,2000,63
CALIFORNIA,2001,37
CALIFORNIA,2002,66
COLORADO,1968,2810
COLORADO,1969,859
COLORADO,1970,1535
COLORADO,1971,1578
COLORADO,1972,826
COLORADO,1973,604
COLORADO,1974,594
COLORADO,1975,675
COLORADO,1976,282
COLORADO,1977,307
COLORADO,1978,175
COLORADO,1979,118
COLORADO,1980,65
COLORADO,1981,45
COLORADO,1982,21
COLORADO,1983,49
COLORADO,1984,31
COLORADO,1985,26
COLORADO,1986,18
COLORADO,1987,35
COLORADO,1988,35
COLORADO,1989,65
COLORADO,1990,28
COLORADO,1991,140
COLORADO,1992,31
COLORADO,1993,13
COLORADO,1994,3
COLORADO,1995,2
COLORADO,1996,3
COLORADO,1997,3
COLORADO,1998,9
COLORADO,1999,5
COLORADO,2000,3
COLORADO,2001,4
COLORADO,2002,2
CONNECTICUT,1968,3835
CONNECTICUT,1969,3985
CONNECTICUT,1970,3649
CONNECTICUT,1971,1582
CONNECTICUT,1972,1119
CONNECTICUT,1973,1583
CONNECTICUT,1974,1676
CONNECTICUT,1975,812
CONNECTICUT,1976,745
CONNECTICUT,1977,364
CONNECTICUT,1978,139
CONNECTICUT,1979,204
CONNECTICUT,1980,100
CONNECTICUT,1981,51
CONNECTICUT,1982,26
CONNECTICUT,1983,22
CONNECTICUT,1984,10
CONNECTICUT,1985,8
CONNECTICUT,1986,22
CONNECTICUT,1987,16
CONNECTICUT,1988,0
CONNECTICUT,1989,13
CONNECTICUT,1990,12
CONNECTICUT,1991,12
CONNECTICUT,1992,7
CONNECTICUT,1993,5
CONNECTICUT,1994,12
CONNECTICUT,1995,2
CONNECTICUT,1997,0
CONNECTICUT,1998,3
CONNECTICUT,2000,3
CONNECTICUT,2002,0
DELAWARE,1968,302
DELAWARE,1969,130
DELAWARE,1970,366
DELAWARE,1971,184
