state_name,year,disease,cases
ALABAMA,1968,MUMPS,548
ALABAMA,1969,MUMPS,234
ALABAMA,1970,MUMPS,392
ALABAMA,1971,MUMPS,1025
ALABAMA,1972,MUMPS,849
ALABAMA,1973,MUMPS,755
ALABAMA,1974,MUMPS,613
ALABAMA,1975,MUMPS,453
ALABAMA,1976,MUMPS,389
ALABAMA,1977,MUMPS,288
ALABAMA,1978,MUMPS,437
ALABAMA,1979,MUMPS,28
ALABAMA,1980,MUMPS,34
ALABAMA,1981,MUMPS,19
ALABAMA,1982,MUMPS,10
ALABAMA,1983,MUMPS,2
ALABAMA,1984,MUMPS,5
ALABAMA,1985,MUMPS,1
ALABAMA,1986,MUMPS,4
ALABAMA,1987,MUMPS,64
ALABAMA,1988,MUMPS,18
ALABAMA,1989,MUMPS,30
ALABAMA,1990,MUMPS,19
ALABAMA,1991,MUMPS,14
ALABAMA,1992,MUMPS,12
ALABAMA,1993,MUMPS,22
ALABAMA,1994,MUMPS,12
ALABAMA,1995,MUMPS,2
ALABAMA,1996,MUMPS,7
ALABAMA,1997,MUMPS,8
ALABAMA,1998,MUMPS,4
ALABAMA,1999,MUMPS,11
ALABAMA,2000,MUMPS,4
ALABAMA,2002,MUMPS,2
ALASKA,1968,MUMPS,718
ALASKA,1969,MUMPS,920
ALASKA,1970,MUMPS,290
ALASKA,1971,MUMPS,93
ALASKA,1972,MUMPS,255
ALASKA,1973,MUMPS,872
ALASKA,1974,MUMPS,149
ALASKA,1975,MUMPS,52
ALASKA,1976,MUMPS,38
ALASKA,1977,MUMPS,34
ALASKA,1978,MUMPS,15
ALASKA,1979,MUMPS,15
ALASKA,1980,MUMPS,16
ALASKA,1981,MUMPS,19
ALASKA,1982,MUMPS,18
ALASKA,1983,MUMPS,16
ALASKA,1984,MUMPS,17
ALASKA,1985,MUMPS,10
ALASKA,1986,MUMPS,10
ALASKA,1987,MUMPS,8
ALASKA,1988,MUMPS,14
ALASKA,1989,MUMPS,1
ALASKA,1990,MUMPS,4
ALASKA,1991,MUMPS,15
ALASKA,1992,MUMPS,3
ALASKA,1993,MUMPS,11
ALASKA,1994,MUMPS,4
ALASKA,1995,MUMPS,12
ALASKA,1996,MUMPS,3
ALASKA,1997,MUMPS,4
ALASKA,1998,MUMPS,2
ALASKA,1999,MUMPS,3
ALASKA,2000,MUMPS,8
ALASKA,2001,MUMPS,1
ARIZONA,1968,MUMPS,2014
ARIZONA,1969,MUMPS,2101
ARIZONA,1970,MUMPS,987
ARIZONA,1971,MUMPS,1245
ARIZONA,1972,MUMPS,976
ARIZONA,1973,MUMPS,164
ARIZONA,1978,MUMPS,27
ARIZONA,1979,MUMPS,65
ARIZONA,1980,MUMPS,43
ARIZONA,1981,MUMPS,38
ARIZONA,1982,MUMPS,63
ARIZONA,1983,MUMPS,90
ARIZONA,1984,MUMPS,203
ARIZONA,1985,MUMPS,124
ARIZONA,1986,MUMPS,201
ARIZONA,1987,MUMPS,189
ARIZONA,1988,MUMPS,141
ARIZONA,1989,MUMPS,130
ARIZONA,1990,MUMPS,123
ARIZONA,1991,MUMPS,137
ARIZONA,1992,MUMPS,60
ARIZONA,1993,MUMPS,21
ARIZONA,1994,MUMPS,96
ARIZONA,1995,MUMPS,6
ARIZONA,1996,MUMPS,1
ARIZONA,1997,MUMPS,33
ARIZONA,1998,MUMPS,6
ARIZONA,1999,MUMPS,8
ARIZONA,2000,MUMPS,6
ARIZONA,2001,MUMPS,1
ARIZONA,2002,MUMPS,0
ARKANSAS,1968,MUMPS,19
ARKANSAS,1969,MUMPS,89
ARKANSAS,1970,MUMPS,156
ARKANSAS,1971,MUMPS,158
ARKANSAS,1972,MUMPS,217
ARKANSAS,1973,MUMPS,337
ARKANSAS,1974,MUMPS,184
ARKANSAS,1975,MUMPS,185
ARKANSAS,1976,MUMPS,81
ARKANSAS,1977,MUMPS,151
ARKANSAS,1978,MUMPS,629
ARKANSAS,1979,MUMPS,641
ARKANSAS,1980,MUMPS,25
ARKANSAS,1981,MUMPS,7
ARKANSAS,1982,MUMPS,8
ARKANSAS,1983,MUMPS,2
ARKANSAS,1984,MUMPS,8
ARKANSAS,1985,MUMPS,7
ARKANSAS,1986,MUMPS,184
ARKANSAS,1987,MUMPS,289
ARKANSAS,1988,MUMPS,136
ARKANSAS,1989,MUMPS,204
ARKANSAS,1990,MUMPS,138
ARKANSAS,1991,MUMPS,44
ARKANSAS,1992,MUMPS,8
ARKANSAS,1993,MUMPS,4
ARKANSAS,1994,MUMPS,5
ARKANSAS,1995,MUMPS,10
ARKANSAS,1996,MUMPS,1
ARKANSAS,1997,MUMPS,0
ARKANSAS,1998,MUMPS,9
ARKANSAS,2000,MUMPS,5
ARKANSAS,2001,MUMPS,1
CALIFORNIA,1968,MUMPS,16895
CALIFORNIA,1969,MUMPS,8016
CALIFORNIA,1970,MUMPS,6225
CALIFORNIA,1971,MUMPS,7505
CALIFORNIA,1972,MUMPS,7108
CALIFORNIA,1973,MUMPS,5672
CALIFORNIA,1974,MUMPS,2494
CALIFORNIA,1975,MUMPS,3728
CALIFORNIA,1976,MUMPS,1768
CALIFORNIA,1977,MUMPS,831
CALIFORNIA,1978,MUMPS,527
CALIFORNIA,1979,MUMPS,449
CALIFORNIA,1980,MUMPS,407
CALIFORNIA,1981,MUMPS,402
CALIFORNIA,1982,MUMPS,413
CALIFORNIA,1983,MUMPS,306
CALIFORNIA,1984,MUMPS,360
CALIFORNIA,1985,MUMPS,382
CALIFORNIA,1986,MUMPS,291
CALIFORNIA,1987,MUMPS,347
CALIFORNIA,1988,MUMPS,430
CALIFORNIA,1989,MUMPS,361
CALIFORNIA,1990,MUMPS,484
CALIFORNIA,1991,MUMPS,389
CALIFORNIA,1992,MUMPS,216
CALIFORNIA,1993,MUMPS,165
CALIFORNIA,1994,MUMPS,143
CALIFORNIA,1995,MUMPS,205
CALIFORNIA,1996,MUMPS,102
CALIFORNIA,1997,MUMPS,115
CALIFORNIA,1998,MUMPS,64
CALIFORNIA,1999,MUMPS,54
CALIFORNIA,2000,MUMPS,63
CALIFORNIA,2001,MUMPS,37
CALIFORNIA,2002,MUMPS,66
COLORADO,1968,MUMPS,2810
COLORADO,1969,MUMPS,859
COLORADO,1970,MUMPS,1535
COLORADO,1971,MUMPS,1578
COLORADO,1972,MUMPS,826
COLORADO,1973,MUMPS,604
COLORADO,1974,MUMPS,594
COLORADO,1975,MUMPS,675
COLORADO,1976,MUMPS,282
COLORADO,1977,MUMPS,307
COLORADO,1978,MUMPS,175
COLORADO,1979,MUMPS,118
COLORADO,1980,MUMPS,65
COLORADO,1981,MUMPS,45
COLORADO,1982,MUMPS,21
COLORADO,1983,MUMPS,49
COLORADO,1984,MUMPS,31
COLORADO,1985,MUMPS,26
COLORADO,1986,MUMPS,18
COLORADO,1987,MUMPS,35
COLORADO,1988,MUMPS,35
COLORADO,1989,MUMPS,65
COLORADO,1990,MUMPS,28
COLORADO,1991,MUMPS,140
COLORADO,1992,MUMPS,31
COLORADO,1993,MUMPS,13
COLORADO,1994,MUMPS,3
COLORADO,1995,MUMPS,2
COLORADO,1996,MUMPS,3
COLORADO,1997,MUMPS,3
COLORADO,1998,MUMPS,9
COLORADO,1999,MUMPS,5
COLORADO,2000,MUMPS,3
COLORADO,2001,MUMPS,4
COLORADO,2002,MUMPS,2
CONNECTICUT,1968,MUMPS,3835
CONNECTICUT,1969,MUMPS,3985
CONNECTICUT,1970,MUMPS,3649
CONNECTICUT,1971,MUMPS,1582
CONNECTICUT,1972,MUMPS,1119
CONNECTICUT,1973,MUMPS,1583
CONNECTICUT,1974,MUMPS,1676
CONNECTICUT,1975,MUMPS,812
CONNECTICUT,1976,MUMPS,745
CONNECTICUT,1977,MUMPS,364
CONNECTICUT,1978,MUMPS,139
CONNECTICUT,1979,MUMPS,204
CONNECTICUT,1980,MUMPS,100
CONNECTICUT,1981,MUMPS,51
CONNECTICUT,1982,MUMPS,26
CONNECTICUT,1983,MUMPS,22
CONNECTICUT,1984,MUMPS,10
CONNECTICUT,1985,MUMPS,8
CONNECTICUT,1986,MUMPS,22
CONNECTICUT,1987,MUMPS,16
CONNECTICUT,1988,MUMPS,0
CONNECTICUT,1989,MUMPS,13
CONNECTICUT,1990,MUMPS,12
CONNECTICUT,1991,MUMPS,12
CONNECTICUT,1992,MUMPS,7
CONNECTICUT,1993,MUMPS,5
CONNECTICUT,1994,MUMPS,12
CONNECTICUT,1995,MUMPS,2
CONNECTICUT,1997,MUMPS,0
CONNECTICUT,1998,MUMPS,3
CONNECTICUT,2000,MUMPS,3
CONNECTICUT,2002,MUMPS,0
DELAWARE,1968,MUMPS,302
DELAWARE,1969,MUMPS,130
