state_name,year,cases
ALABAMA,1938,1843
ALABAMA,1939,1975
ALABAMA,1940,1235
ALABAMA,1941,1566
ALABAMA,1942,1640
ALABAMA,1943,2054
ALABAMA,1944,1314
ALABAMA,1945,1081
ALABAMA,1946,1048
ALABAMA,1947,2249
ALABAMA,1948,1263
ALABAMA,1949,515
ALABAMA,1950,1177
ALABAMA,1951,1209
ALABAMA,1952,945
ALABAMA,1953,317
ALABAMA,1954,748
ALABAMA,1955,1774
ALABAMA,1974,19
ALABAMA,1975,46
ALABAMA,1976,6
ALABAMA,1977,4
ALABAMA,1978,3
ALABAMA,1979,4
ALABAMA,1980,4
ALABAMA,1982,5
ALABAMA,1983,4
ALABAMA,1984,1
ALABAMA,1985,29
ALABAMA,1986,24
ALABAMA,1987,26
ALABAMA,1988,62
ALABAMA,1989,97
ALABAMA,1990,76
ALABAMA,1991,65
ALABAMA,1992,24
ALABAMA,1993,67
ALABAMA,1994,39
ALABAMA,1995,38
ALABAMA,1996,28
ALABAMA,1997,37
ALABAMA,1998,24
ALABAMA,1999,20
ALABAMA,2000,17
ALABAMA,2001,35
ALABAMA,2002,37
ALABAMA,2003,14
ALABAMA,2004,41
ALABAMA,2005,82
ALABAMA,2006,90
ALABAMA,2007,72
ALABAMA,2008,50
ALABAMA,2009,167
ALABAMA,2010,113
ALABAMA,2011,106
ALASKA,1950,86
ALASKA,1951,78
ALASKA,1955,55
ALASKA,1975,4
ALASKA,1977,5
ALASKA,1978,19
ALASKA,1979,10
ALASKA,1980,5
ALASKA,1983,5
ALASKA,1984,0
ALASKA,1985,31
ALASKA,1986,5
ALASKA,1987,9
ALASKA,1988,7
ALASKA,1989,3
ALASKA,1990,15
ALASKA,1991,9
ALASKA,1992,13
ALASKA,1993,3
ALASKA,1994,2
ALASKA,1995,0
ALASKA,1996,3
ALASKA,1997,12
ALASKA,1998,13
ALASKA,1999,5
ALASKA,2000,19
ALASKA,2001,10
ALASKA,2002,5
ALASKA,2003,6
ALASKA,2004,11
ALASKA,2005,123
ALASKA,2006,53
ALASKA,2007,37
ALASKA,2008,191
ALASKA,2009,70
ALASKA,2010,42
ALASKA,2011,27
ARIZONA,1938,1626
ARIZONA,1939,1035
ARIZONA,1940,892
ARIZONA,1941,1176
ARIZONA,1942,1073
ARIZONA,1943,945
ARIZONA,1944,975
ARIZONA,1945,853
ARIZONA,1946,699
ARIZONA,1947,1142
ARIZONA,1948,1215
ARIZONA,1949,563
ARIZONA,1950,1953
ARIZONA,1951,1806
ARIZONA,1952,1704
ARIZONA,1953,249
ARIZONA,1954,839
ARIZONA,1955,1589
ARIZONA,1978,23
ARIZONA,1979,29
ARIZONA,1980,21
ARIZONA,1981,12
ARIZONA,1982,16
ARIZONA,1983,29
ARIZONA,1984,27
ARIZONA,1985,49
ARIZONA,1986,83
ARIZONA,1987,38
ARIZONA,1988,433
ARIZONA,1989,389
ARIZONA,1990,56
ARIZONA,1991,69
ARIZONA,1992,125
ARIZONA,1993,52
ARIZONA,1994,144
ARIZONA,1995,341
ARIZONA,1996,25
ARIZONA,1997,44
ARIZONA,1998,169
ARIZONA,1999,86
ARIZONA,2000,142
ARIZONA,2001,541
ARIZONA,2002,631
ARIZONA,2003,91
ARIZONA,2004,209
ARIZONA,2005,950
ARIZONA,2006,354
ARIZONA,2007,196
ARIZONA,2008,105
ARIZONA,2009,155
ARIZONA,2010,183
ARIZONA,2011,266
ARKANSAS,1938,1551
ARKANSAS,1939,940
ARKANSAS,1940,811
ARKANSAS,1941,1119
ARKANSAS,1942,917
ARKANSAS,1943,1463
ARKANSAS,1944,976
ARKANSAS,1945,691
ARKANSAS,1946,487
ARKANSAS,1947,1622
ARKANSAS,1948,1202
ARKANSAS,1949,769
ARKANSAS,1950,1951
ARKANSAS,1951,1541
ARKANSAS,1952,1035
ARKANSAS,1953,569
ARKANSAS,1954,899
ARKANSAS,1955,1659
ARKANSAS,1974,22
ARKANSAS,1975,25
ARKANSAS,1976,28
ARKANSAS,1977,23
ARKANSAS,1978,32
ARKANSAS,1979,17
ARKANSAS,1980,14
ARKANSAS,1981,2
ARKANSAS,1982,3
ARKANSAS,1983,24
ARKANSAS,1984,20
ARKANSAS,1985,17
ARKANSAS,1986,20
ARKANSAS,1987,9
ARKANSAS,1988,38
ARKANSAS,1989,31
ARKANSAS,1990,23
ARKANSAS,1991,14
ARKANSAS,1992,18
ARKANSAS,1993,12
ARKANSAS,1994,26
ARKANSAS,1995,40
ARKANSAS,1996,13
ARKANSAS,1997,53
ARKANSAS,1998,84
ARKANSAS,1999,22
ARKANSAS,2000,32
ARKANSAS,2001,31
ARKANSAS,2002,476
ARKANSAS,2003,31
ARKANSAS,2004,76
ARKANSAS,2005,289
ARKANSAS,2006,60
ARKANSAS,2007,84
ARKANSAS,2008,57
ARKANSAS,2009,104
ARKANSAS,2010,67
ARKANSAS,2011,50
CALIFORNIA,1938,15113
CALIFORNIA,1939,8447
CALIFORNIA,1940,12668
CALIFORNIA,1941,18973
CALIFORNIA,1942,12034
CALIFORNIA,1943,12767
CALIFORNIA,1944,5546
CALIFORNIA,1945,11216
CALIFORNIA,1946,4050
CALIFORNIA,1947,8127
CALIFORNIA,1948,3667
CALIFORNIA,1949,3684
CALIFORNIA,1950,5025
CALIFORNIA,1951,2707
CALIFORNIA,1952,3469
CALIFORNIA,1953,2059
CALIFORNIA,1954,5670
CALIFORNIA,1955,5026
CALIFORNIA,1974,320
CALIFORNIA,1975,129
CALIFORNIA,1976,76
CALIFORNIA,1977,181
CALIFORNIA,1978,222
CALIFORNIA,1979,99
CALIFORNIA,1980,122
