state_name,year,disease,cases
ALABAMA,1938,PERTUSSIS,1843
ALABAMA,1939,PERTUSSIS,1975
ALABAMA,1940,PERTUSSIS,1235
ALABAMA,1941,PERTUSSIS,1566
ALABAMA,1942,PERTUSSIS,1640
ALABAMA,1943,PERTUSSIS,2054
ALABAMA,1944,PERTUSSIS,1314
ALABAMA,1945,PERTUSSIS,1081
ALABAMA,1946,PERTUSSIS,1048
ALABAMA,1947,PERTUSSIS,2249
ALABAMA,1948,PERTUSSIS,1263
ALABAMA,1949,PERTUSSIS,515
ALABAMA,1950,PERTUSSIS,1177
ALABAMA,1951,PERTUSSIS,1209
ALABAMA,1952,PERTUSSIS,945
ALABAMA,1953,PERTUSSIS,317
ALABAMA,1954,PERTUSSIS,748
ALABAMA,1955,PERTUSSIS,1774
ALABAMA,1974,PERTUSSIS,19
ALABAMA,1975,PERTUSSIS,46
ALABAMA,1976,PERTUSSIS,6
ALABAMA,1977,PERTUSSIS,4
ALABAMA,1978,PERTUSSIS,3
ALABAMA,1979,PERTUSSIS,4
ALABAMA,1980,PERTUSSIS,4
ALABAMA,1982,PERTUSSIS,5
ALABAMA,1983,PERTUSSIS,4
ALABAMA,1984,PERTUSSIS,1
ALABAMA,1985,PERTUSSIS,29
ALABAMA,1986,PERTUSSIS,24
ALABAMA,1987,PERTUSSIS,26
ALABAMA,1988,PERTUSSIS,62
ALABAMA,1989,PERTUSSIS,97
ALABAMA,1990,PERTUSSIS,76
ALABAMA,1991,PERTUSSIS,65
ALABAMA,1992,PERTUSSIS,24
ALABAMA,1993,PERTUSSIS,67
ALABAMA,1994,PERTUSSIS,39
ALABAMA,1995,PERTUSSIS,38
ALABAMA,1996,PERTUSSIS,28
ALABAMA,1997,PERTUSSIS,37
ALABAMA,1998,PERTUSSIS,24
ALABAMA,1999,PERTUSSIS,20
ALABAMA,2000,PERTUSSIS,17
ALABAMA,2001,PERTUSSIS,35
ALABAMA,2002,PERTUSSIS,37
ALABAMA,2003,PERTUSSIS,14
ALABAMA,2004,PERTUSSIS,41
ALABAMA,2005,PERTUSSIS,82
ALABAMA,2006,PERTUSSIS,90
ALABAMA,2007,PERTUSSIS,72
ALABAMA,2008,PERTUSSIS,50
ALABAMA,2009,PERTUSSIS,167
ALABAMA,2010,PERTUSSIS,113
ALABAMA,2011,PERTUSSIS,106
ALASKA,1950,PERTUSSIS,86
ALASKA,1951,PERTUSSIS,78
ALASKA,1955,PERTUSSIS,55
ALASKA,1975,PERTUSSIS,4
ALASKA,1977,PERTUSSIS,5
ALASKA,1978,PERTUSSIS,19
ALASKA,1979,PERTUSSIS,10
ALASKA,1980,PERTUSSIS,5
ALASKA,1983,PERTUSSIS,5
ALASKA,1984,PERTUSSIS,0
ALASKA,1985,PERTUSSIS,31
ALASKA,1986,PERTUSSIS,5
ALASKA,1987,PERTUSSIS,9
ALASKA,1988,PERTUSSIS,7
ALASKA,1989,PERTUSSIS,3
ALASKA,1990,PERTUSSIS,15
ALASKA,1991,PERTUSSIS,9
ALASKA,1992,PERTUSSIS,13
ALASKA,1993,PERTUSSIS,3
ALASKA,1994,PERTUSSIS,2
ALASKA,1995,PERTUSSIS,0
ALASKA,1996,PERTUSSIS,3
ALASKA,1997,PERTUSSIS,12
ALASKA,1998,PERTUSSIS,13
ALASKA,1999,PERTUSSIS,5
ALASKA,2000,PERTUSSIS,19
ALASKA,2001,PERTUSSIS,10
ALASKA,2002,PERTUSSIS,5
ALASKA,2003,PERTUSSIS,6
ALASKA,2004,PERTUSSIS,11
ALASKA,2005,PERTUSSIS,123
ALASKA,2006,PERTUSSIS,53
ALASKA,2007,PERTUSSIS,37
ALASKA,2008,PERTUSSIS,191
ALASKA,2009,PERTUSSIS,70
ALASKA,2010,PERTUSSIS,42
ALASKA,2011,PERTUSSIS,27
ARIZONA,1938,PERTUSSIS,1626
ARIZONA,1939,PERTUSSIS,1035
ARIZONA,1940,PERTUSSIS,892
ARIZONA,1941,PERTUSSIS,1176
ARIZONA,1942,PERTUSSIS,1073
ARIZONA,1943,PERTUSSIS,945
ARIZONA,1944,PERTUSSIS,975
ARIZONA,1945,PERTUSSIS,853
ARIZONA,1946,PERTUSSIS,699
ARIZONA,1947,PERTUSSIS,1142
ARIZONA,1948,PERTUSSIS,1215
ARIZONA,1949,PERTUSSIS,563
ARIZONA,1950,PERTUSSIS,1953
ARIZONA,1951,PERTUSSIS,1806
ARIZONA,1952,PERTUSSIS,1704
ARIZONA,1953,PERTUSSIS,249
ARIZONA,1954,PERTUSSIS,839
ARIZONA,1955,PERTUSSIS,1589
ARIZONA,1978,PERTUSSIS,23
ARIZONA,1979,PERTUSSIS,29
ARIZONA,1980,PERTUSSIS,21
ARIZONA,1981,PERTUSSIS,12
ARIZONA,1982,PERTUSSIS,16
ARIZONA,1983,PERTUSSIS,29
ARIZONA,1984,PERTUSSIS,27
ARIZONA,1985,PERTUSSIS,49
ARIZONA,1986,PERTUSSIS,83
ARIZONA,1987,PERTUSSIS,38
ARIZONA,1988,PERTUSSIS,433
ARIZONA,1989,PERTUSSIS,389
ARIZONA,1990,PERTUSSIS,56
ARIZONA,1991,PERTUSSIS,69
ARIZONA,1992,PERTUSSIS,125
ARIZONA,1993,PERTUSSIS,52
ARIZONA,1994,PERTUSSIS,144
ARIZONA,1995,PERTUSSIS,341
ARIZONA,1996,PERTUSSIS,25
ARIZONA,1997,PERTUSSIS,44
ARIZONA,1998,PERTUSSIS,169
ARIZONA,1999,PERTUSSIS,86
ARIZONA,2000,PERTUSSIS,142
ARIZONA,2001,PERTUSSIS,541
ARIZONA,2002,PERTUSSIS,631
ARIZONA,2003,PERTUSSIS,91
ARIZONA,2004,PERTUSSIS,209
ARIZONA,2005,PERTUSSIS,950
ARIZONA,2006,PERTUSSIS,354
ARIZONA,2007,PERTUSSIS,196
ARIZONA,2008,PERTUSSIS,105
ARIZONA,2009,PERTUSSIS,155
ARIZONA,2010,PERTUSSIS,183
ARIZONA,2011,PERTUSSIS,266
ARKANSAS,1938,PERTUSSIS,1551
ARKANSAS,1939,PERTUSSIS,940
ARKANSAS,1940,PERTUSSIS,811
ARKANSAS,1941,PERTUSSIS,1119
ARKANSAS,1942,PERTUSSIS,917
ARKANSAS,1943,PERTUSSIS,1463
ARKANSAS,1944,PERTUSSIS,976
ARKANSAS,1945,PERTUSSIS,691
ARKANSAS,1946,PERTUSSIS,487
ARKANSAS,1947,PERTUSSIS,1622
ARKANSAS,1948,PERTUSSIS,1202
ARKANSAS,1949,PERTUSSIS,769
ARKANSAS,1950,PERTUSSIS,1951
ARKANSAS,1951,PERTUSSIS,1541
ARKANSAS,1952,PERTUSSIS,1035
ARKANSAS,1953,PERTUSSIS,569
ARKANSAS,1954,PERTUSSIS,899
ARKANSAS,1955,PERTUSSIS,1659
ARKANSAS,1974,PERTUSSIS,22
ARKANSAS,1975,PERTUSSIS,25
ARKANSAS,1976,PERTUSSIS,28
ARKANSAS,1977,PERTUSSIS,23
ARKANSAS,1978,PERTUSSIS,32
ARKANSAS,1979,PERTUSSIS,17
ARKANSAS,1980,PERTUSSIS,14
ARKANSAS,1981,PERTUSSIS,2
ARKANSAS,1982,PERTUSSIS,3
ARKANSAS,1983,PERTUSSIS,24
ARKANSAS,1984,PERTUSSIS,20
ARKANSAS,1985,PERTUSSIS,17
ARKANSAS,1986,PERTUSSIS,20
ARKANSAS,1987,PERTUSSIS,9
ARKANSAS,1988,PERTUSSIS,38
ARKANSAS,1989,PERTUSSIS,31
ARKANSAS,1990,PERTUSSIS,23
ARKANSAS,1991,PERTUSSIS,14
ARKANSAS,1992,PERTUSSIS,18
ARKANSAS,1993,PERTUSSIS,12
ARKANSAS,1994,PERTUSSIS,26
ARKANSAS,1995,PERTUSSIS,40
ARKANSAS,1996,PERTUSSIS,13
ARKANSAS,1997,PERTUSSIS,53
ARKANSAS,1998,PERTUSSIS,84
ARKANSAS,1999,PERTUSSIS,22
ARKANSAS,2000,PERTUSSIS,32
ARKANSAS,2001,PERTUSSIS,31
ARKANSAS,2002,PERTUSSIS,476
ARKANSAS,2003,PERTUSSIS,31
ARKANSAS,2004,PERTUSSIS,76
ARKANSAS,2005,PERTUSSIS,289
ARKANSAS,2006,PERTUSSIS,60
ARKANSAS,2007,PERTUSSIS,84
