state_name,year,cases
ALABAMA,1966,112
ALABAMA,1967,214
ALABAMA,1968,404
ALABAMA,1969,136
ALABAMA,1970,380
ALABAMA,1971,226
ALABAMA,1972,68
ALABAMA,1973,220
ALABAMA,1974,65
ALABAMA,1975,23
ALABAMA,1976,2
ALABAMA,1977,109
ALABAMA,1978,31
ALABAMA,1979,44
ALABAMA,1980,4
ALABAMA,1981,1
ALABAMA,1983,1
ALABAMA,1984,3
ALABAMA,1989,1
ALABAMA,1990,1
ALABAMA,1996,2
ALABAMA,1998,0
ALABAMA,1999,1
ALABAMA,2000,3
ALASKA,1966,112
ALASKA,1967,316
ALASKA,1968,289
ALASKA,1969,466
ALASKA,1970,85
ALASKA,1971,41
ALASKA,1972,28
ALASKA,1973,29
ALASKA,1975,1
ALASKA,1976,3
ALASKA,1977,1
ALASKA,1978,12
ALASKA,1979,4
ALASKA,1980,12
ALASKA,1981,1
ALASKA,1982,5
ALASKA,1983,1
ALASKA,1984,1
ALASKA,1985,1
ALASKA,1987,2
ALASKA,1991,3
ALASKA,1993,0
ALASKA,1994,1
ARIZONA,1966,2574
ARIZONA,1967,976
ARIZONA,1968,700
ARIZONA,1969,818
ARIZONA,1970,621
ARIZONA,1971,401
ARIZONA,1972,367
ARIZONA,1973,27
ARIZONA,1974,2
ARIZONA,1975,2
ARIZONA,1977,49
ARIZONA,1978,97
ARIZONA,1979,114
ARIZONA,1980,41
ARIZONA,1981,22
ARIZONA,1982,29
ARIZONA,1983,8
ARIZONA,1984,4
ARIZONA,1985,1
ARIZONA,1986,2
ARIZONA,1987,5
ARIZONA,1990,31
ARIZONA,1991,2
ARIZONA,1992,1
ARIZONA,1993,1
ARIZONA,1995,5
ARIZONA,1996,1
ARIZONA,1997,7
ARIZONA,1998,2
ARIZONA,1999,11
ARIZONA,2000,1
ARKANSAS,1966,10
ARKANSAS,1967,17
ARKANSAS,1968,4
ARKANSAS,1969,199
ARKANSAS,1970,38
ARKANSAS,1971,338
ARKANSAS,1972,73
ARKANSAS,1973,104
ARKANSAS,1974,8
ARKANSAS,1975,1
ARKANSAS,1976,154
ARKANSAS,1977,3
ARKANSAS,1978,58
ARKANSAS,1979,8
ARKANSAS,1980,5
ARKANSAS,1981,7
ARKANSAS,1982,1
ARKANSAS,1984,3
ARKANSAS,1985,1
ARKANSAS,1986,1
ARKANSAS,1987,2
ARKANSAS,1988,4
ARKANSAS,1989,1
ARKANSAS,1990,3
ARKANSAS,1991,1
ARKANSAS,1995,0
ARKANSAS,1997,3
ARKANSAS,1999,2
CALIFORNIA,1966,2808
CALIFORNIA,1967,9062
CALIFORNIA,1968,4890
CALIFORNIA,1969,6041
CALIFORNIA,1970,5253
CALIFORNIA,1971,8384
CALIFORNIA,1972,4795
CALIFORNIA,1973,2518
CALIFORNIA,1974,1430
CALIFORNIA,1975,1440
CALIFORNIA,1976,860
CALIFORNIA,1977,1836
CALIFORNIA,1978,983
CALIFORNIA,1979,1758
CALIFORNIA,1980,801
CALIFORNIA,1981,475
CALIFORNIA,1982,1239
CALIFORNIA,1983,266
CALIFORNIA,1984,161
CALIFORNIA,1985,130
CALIFORNIA,1986,225
CALIFORNIA,1987,122
CALIFORNIA,1988,73
CALIFORNIA,1989,113
CALIFORNIA,1990,465
CALIFORNIA,1991,222
CALIFORNIA,1992,42
CALIFORNIA,1993,40
CALIFORNIA,1994,24
CALIFORNIA,1995,21
CALIFORNIA,1996,48
CALIFORNIA,1997,15
CALIFORNIA,1998,2
CALIFORNIA,1999,5
CALIFORNIA,2000,11
CALIFORNIA,2001,0
CALIFORNIA,2002,2
COLORADO,1966,743
COLORADO,1967,1811
COLORADO,1968,887
COLORADO,1969,1375
COLORADO,1970,432
COLORADO,1971,328
COLORADO,1972,531
COLORADO,1973,1287
COLORADO,1974,130
COLORADO,1975,136
COLORADO,1976,31
COLORADO,1977,286
COLORADO,1978,36
COLORADO,1979,32
COLORADO,1980,12
COLORADO,1981,26
COLORADO,1982,6
COLORADO,1983,1
COLORADO,1984,2
COLORADO,1986,1
COLORADO,1988,3
COLORADO,1989,1
COLORADO,1990,4
COLORADO,1991,2
COLORADO,1992,2
COLORADO,1993,0
COLORADO,1995,1
COLORADO,1996,3
COLORADO,1999,3
