state_name,year,disease,cases
ALABAMA,1966,RUBELLA,112
ALABAMA,1967,RUBELLA,214
ALABAMA,1968,RUBELLA,404
ALABAMA,1969,RUBELLA,136
ALABAMA,1970,RUBELLA,380
ALABAMA,1971,RUBELLA,226
ALABAMA,1972,RUBELLA,68
ALABAMA,1973,RUBELLA,220
ALABAMA,1974,RUBELLA,65
ALABAMA,1975,RUBELLA,23
ALABAMA,1976,RUBELLA,2
ALABAMA,1977,RUBELLA,109
ALABAMA,1978,RUBELLA,31
ALABAMA,1979,RUBELLA,44
ALABAMA,1980,RUBELLA,4
ALABAMA,1981,RUBELLA,1
ALABAMA,1983,RUBELLA,1
ALABAMA,1984,RUBELLA,3
ALABAMA,1989,RUBELLA,1
ALABAMA,1990,RUBELLA,1
ALABAMA,1996,RUBELLA,2
ALABAMA,1998,RUBELLA,0
ALABAMA,1999,RUBELLA,1
ALABAMA,2000,RUBELLA,3
ALASKA,1966,RUBELLA,112
ALASKA,1967,RUBELLA,316
ALASKA,1968,RUBELLA,289
ALASKA,1969,RUBELLA,466
ALASKA,1970,RUBELLA,85
ALASKA,1971,RUBELLA,41
ALASKA,1972,RUBELLA,28
ALASKA,1973,RUBELLA,29
ALASKA,1975,RUBELLA,1
ALASKA,1976,RUBELLA,3
ALASKA,1977,RUBELLA,1
ALASKA,1978,RUBELLA,12
ALASKA,1979,RUBELLA,4
ALASKA,1980,RUBELLA,12
ALASKA,1981,RUBELLA,1
ALASKA,1982,RUBELLA,5
ALASKA,1983,RUBELLA,1
ALASKA,1984,RUBELLA,1
ALASKA,1985,RUBELLA,1
ALASKA,1987,RUBELLA,2
ALASKA,1991,RUBELLA,3
ALASKA,1993,RUBELLA,0
ALASKA,1994,RUBELLA,1
ARIZONA,1966,RUBELLA,2574
ARIZONA,1967,RUBELLA,976
ARIZONA,1968,RUBELLA,700
ARIZONA,1969,RUBELLA,818
ARIZONA,1970,RUBELLA,621
ARIZONA,1971,RUBELLA,401
ARIZONA,1972,RUBELLA,367
ARIZONA,1973,RUBELLA,27
ARIZONA,1974,RUBELLA,2
ARIZONA,1975,RUBELLA,2
ARIZONA,1977,RUBELLA,49
ARIZONA,1978,RUBELLA,97
ARIZONA,1979,RUBELLA,114
ARIZONA,1980,RUBELLA,41
ARIZONA,1981,RUBELLA,22
ARIZONA,1982,RUBELLA,29
ARIZONA,1983,RUBELLA,8
ARIZONA,1984,RUBELLA,4
ARIZONA,1985,RUBELLA,1
ARIZONA,1986,RUBELLA,2
ARIZONA,1987,RUBELLA,5
ARIZONA,1990,RUBELLA,31
ARIZONA,1991,RUBELLA,2
ARIZONA,1992,RUBELLA,1
ARIZONA,1993,RUBELLA,1
ARIZONA,1995,RUBELLA,5
ARIZONA,1996,RUBELLA,1
ARIZONA,1997,RUBELLA,7
ARIZONA,1998,RUBELLA,2
ARIZONA,1999,RUBELLA,11
ARIZONA,2000,RUBELLA,1
ARKANSAS,1966,RUBELLA,10
ARKANSAS,1967,RUBELLA,17
ARKANSAS,1968,RUBELLA,4
ARKANSAS,1969,RUBELLA,199
ARKANSAS,1970,RUBELLA,38
ARKANSAS,1971,RUBELLA,338
ARKANSAS,1972,RUBELLA,73
ARKANSAS,1973,RUBELLA,104
