state_name,year,cases
ALABAMA,1928,341
ALABAMA,1929,378
ALABAMA,1930,192
ALABAMA,1931,295
ALABAMA,1932,467
ALABAMA,1933,82
ALABAMA,1934,23
ALABAMA,1935,42
ALABAMA,1936,12
ALABAMA,1937,54
ALABAMA,1938,74
ALABAMA,1939,52
ALABAMA,1940,49
ALABAMA,1941,12
ALABAMA,1942,13
ALABAMA,1943,20
ALABAMA,1944,12
ALABAMA,1945,5
ALABAMA,1946,5
ALABAMA,1947,6
ALABAMA,1948,15
ALABAMA,1951,1
ARIZONA,1928,410
ARIZONA,1929,276
ARIZONA,1930,548
ARIZONA,1931,46
ARIZONA,1932,7
ARIZONA,1933,10
ARIZONA,1934,3
ARIZONA,1935,2
ARIZONA,1936,3
ARIZONA,1937,3
ARIZONA,1938,165
ARIZONA,1939,291
ARIZONA,1940,81
ARIZONA,1941,16
ARIZONA,1942,5
ARIZONA,1943,6
ARIZONA,1944,7
ARIZONA,1945,3
ARIZONA,1946,2
ARIZONA,1947,0
ARIZONA,1948,2
ARIZONA,1949,3
ARIZONA,1950,2
ARIZONA,1951,3
ARIZONA,1952,3
ARKANSAS,1928,248
ARKANSAS,1929,199
ARKANSAS,1930,410
ARKANSAS,1931,753
ARKANSAS,1932,360
ARKANSAS,1933,230
ARKANSAS,1934,107
ARKANSAS,1935,61
ARKANSAS,1936,14
ARKANSAS,1937,95
ARKANSAS,1938,227
ARKANSAS,1939,151
ARKANSAS,1940,90
ARKANSAS,1941,33
ARKANSAS,1942,62
ARKANSAS,1943,57
ARKANSAS,1944,21
ARKANSAS,1945,31
ARKANSAS,1946,11
ARKANSAS,1947,4
ARKANSAS,1948,20
ARKANSAS,1950,1
CALIFORNIA,1928,990
CALIFORNIA,1929,2009
CALIFORNIA,1930,2293
CALIFORNIA,1931,1390
CALIFORNIA,1932,495
CALIFORNIA,1933,1059
CALIFORNIA,1934,181
CALIFORNIA,1935,296
CALIFORNIA,1936,115
CALIFORNIA,1937,498
CALIFORNIA,1938,1135
CALIFORNIA,1939,720
CALIFORNIA,1940,191
CALIFORNIA,1941,13
CALIFORNIA,1942,7
CALIFORNIA,1943,4
CALIFORNIA,1944,17
CALIFORNIA,1945,5
CALIFORNIA,1946,10
CALIFORNIA,1947,1
CALIFORNIA,1948,43
CALIFORNIA,1949,1
COLORADO,1928,340
COLORADO,1929,844
COLORADO,1930,562
COLORADO,1931,265
COLORADO,1932,61
COLORADO,1933,167
COLORADO,1934,154
COLORADO,1935,172
COLORADO,1936,196
COLORADO,1937,212
COLORADO,1938,274
COLORADO,1939,361
COLORADO,1940,253
COLORADO,1941,51
COLORADO,1942,21
COLORADO,1943,12
