state_name,year,disease,cases
ALABAMA,1928,SMALLPOX,341
ALABAMA,1929,SMALLPOX,378
ALABAMA,1930,SMALLPOX,192
ALABAMA,1931,SMALLPOX,295
ALABAMA,1932,SMALLPOX,467
ALABAMA,1933,SMALLPOX,82
ALABAMA,1934,SMALLPOX,23
ALABAMA,1935,SMALLPOX,42
ALABAMA,1936,SMALLPOX,12
ALABAMA,1937,SMALLPOX,54
ALABAMA,1938,SMALLPOX,74
ALABAMA,1939,SMALLPOX,52
ALABAMA,1940,SMALLPOX,49
ALABAMA,1941,SMALLPOX,12
ALABAMA,1942,SMALLPOX,13
ALABAMA,1943,SMALLPOX,20
ALABAMA,1944,SMALLPOX,12
ALABAMA,1945,SMALLPOX,5
ALABAMA,1946,SMALLPOX,5
ALABAMA,1947,SMALLPOX,6
ALABAMA,1948,SMALLPOX,15
ALABAMA,1951,SMALLPOX,1
ARIZONA,1928,SMALLPOX,410
ARIZONA,1929,SMALLPOX,276
ARIZONA,1930,SMALLPOX,548
ARIZONA,1931,SMALLPOX,46
ARIZONA,1932,SMALLPOX,7
ARIZONA,1933,SMALLPOX,10
ARIZONA,1934,SMALLPOX,3
ARIZONA,1935,SMALLPOX,2
ARIZONA,1936,SMALLPOX,3
ARIZONA,1937,SMALLPOX,3
ARIZONA,1938,SMALLPOX,165
ARIZONA,1939,SMALLPOX,291
ARIZONA,1940,SMALLPOX,81
ARIZONA,1941,SMALLPOX,16
ARIZONA,1942,SMALLPOX,5
ARIZONA,1943,SMALLPOX,6
ARIZONA,1944,SMALLPOX,7
ARIZONA,1945,SMALLPOX,3
ARIZONA,1946,SMALLPOX,2
ARIZONA,1947,SMALLPOX,0
ARIZONA,1948,SMALLPOX,2
ARIZONA,1949,SMALLPOX,3
ARIZONA,1950,SMALLPOX,2
ARIZONA,1951,SMALLPOX,3
ARIZONA,1952,SMALLPOX,3
ARKANSAS,1928,SMALLPOX,248
ARKANSAS,1929,SMALLPOX,199
ARKANSAS,1930,SMALLPOX,410
ARKANSAS,1931,SMALLPOX,753
ARKANSAS,1932,SMALLPOX,360
ARKANSAS,1933,SMALLPOX,230
ARKANSAS,1934,SMALLPOX,107
ARKANSAS,1935,SMALLPOX,61
ARKANSAS,1936,SMALLPOX,14
ARKANSAS,1937,SMALLPOX,95
ARKANSAS,1938,SMALLPOX,227
ARKANSAS,1939,SMALLPOX,151
ARKANSAS,1940,SMALLPOX,90
ARKANSAS,1941,SMALLPOX,33
ARKANSAS,1942,SMALLPOX,62
ARKANSAS,1943,SMALLPOX,57
ARKANSAS,1944,SMALLPOX,21
ARKANSAS,1945,SMALLPOX,31
ARKANSAS,1946,SMALLPOX,11
ARKANSAS,1947,SMALLPOX,4
ARKANSAS,1948,SMALLPOX,20
ARKANSAS,1950,SMALLPOX,1
CALIFORNIA,1928,SMALLPOX,990
CALIFORNIA,1929,SMALLPOX,2009
CALIFORNIA,1930,SMALLPOX,2293
CALIFORNIA,1931,SMALLPOX,1390
CALIFORNIA,1932,SMALLPOX,495
CALIFORNIA,1933,SMALLPOX,1059
CALIFORNIA,1934,SMALLPOX,181
CALIFORNIA,1935,SMALLPOX,296
CALIFORNIA,1936,SMALLPOX,115
CALIFORNIA,1937,SMALLPOX,498
CALIFORNIA,1938,SMALLPOX,1135
CALIFORNIA,1939,SMALLPOX,720
CALIFORNIA,1940,SMALLPOX,191
CALIFORNIA,1941,SMALLPOX,13
CALIFORNIA,1942,SMALLPOX,7
CALIFORNIA,1943,SMALLPOX,4
CALIFORNIA,1944,SMALLPOX,17
CALIFORNIA,1945,SMALLPOX,5
CALIFORNIA,1946,SMALLPOX,10
CALIFORNIA,1947,SMALLPOX,1
CALIFORNIA,1948,SMALLPOX,43
CALIFORNIA,1949,SMALLPOX,1
COLORADO,1928,SMALLPOX,340
COLORADO,1929,SMALLPOX,844
COLORADO,1930,SMALLPOX,562
COLORADO,1931,SMALLPOX,265
COLORADO,1932,SMALLPOX,61
COLORADO,1933,SMALLPOX,167
COLORADO,1934,SMALLPOX,154
COLORADO,1935,SMALLPOX,172
COLORADO,1936,SMALLPOX,196
COLORADO,1937,SMALLPOX,212
COLORADO,1938,SMALLPOX,274
COLORADO,1939,SMALLPOX,361
COLORADO,1940,SMALLPOX,253
COLORADO,1941,SMALLPOX,51
COLORADO,1942,SMALLPOX,21
COLORADO,1943,SMALLPOX,12
COLORADO,1944,SMALLPOX,13
COLORADO,1945,SMALLPOX,6
COLORADO,1946,SMALLPOX,13
COLORADO,1947,SMALLPOX,1
COLORADO,1948,SMALLPOX,17
COLORADO,1949,SMALLPOX,2
COLORADO,1950,SMALLPOX,2
CONNECTICUT,1928,SMALLPOX,161
CONNECTICUT,1929,SMALLPOX,43
CONNECTICUT,1930,SMALLPOX,0
CONNECTICUT,1931,SMALLPOX,100
CONNECTICUT,1932,SMALLPOX,86
CONNECTICUT,1933,SMALLPOX,29
CONNECTICUT,1934,SMALLPOX,0
CONNECTICUT,1935,SMALLPOX,0
CONNECTICUT,1936,SMALLPOX,0
CONNECTICUT,1937,SMALLPOX,0
CONNECTICUT,1938,SMALLPOX,0
CONNECTICUT,1939,SMALLPOX,6
CONNECTICUT,1940,SMALLPOX,0
CONNECTICUT,1941,SMALLPOX,0
CONNECTICUT,1942,SMALLPOX,0
CONNECTICUT,1943,SMALLPOX,0
CONNECTICUT,1944,SMALLPOX,0
CONNECTICUT,1945,SMALLPOX,0
CONNECTICUT,1946,SMALLPOX,0
CONNECTICUT,1947,SMALLPOX,0
CONNECTICUT,1948,SMALLPOX,0
DELAWARE,1928,SMALLPOX,2
DELAWARE,1929,SMALLPOX,2
DELAWARE,1930,SMALLPOX,0
DELAWARE,1931,SMALLPOX,0
DELAWARE,1932,SMALLPOX,0
DELAWARE,1933,SMALLPOX,0
DELAWARE,1934,SMALLPOX,0
DELAWARE,1935,SMALLPOX,1
DELAWARE,1936,SMALLPOX,0
DELAWARE,1937,SMALLPOX,0
DELAWARE,1938,SMALLPOX,0
DELAWARE,1939,SMALLPOX,0
DELAWARE,1940,SMALLPOX,0
DELAWARE,1941,SMALLPOX,0
DELAWARE,1942,SMALLPOX,0
DELAWARE,1943,SMALLPOX,0
DELAWARE,1944,SMALLPOX,0
DELAWARE,1945,SMALLPOX,0
DELAWARE,1946,SMALLPOX,0
DELAWARE,1947,SMALLPOX,0
DELAWARE,1948,SMALLPOX,0
DISTRICT OF COLUMBIA,1928,SMALLPOX,10
DISTRICT OF COLUMBIA,1929,SMALLPOX,0
DISTRICT OF COLUMBIA,1930,SMALLPOX,0
DISTRICT OF COLUMBIA,1931,SMALLPOX,0
DISTRICT OF COLUMBIA,1932,SMALLPOX,1
DISTRICT OF COLUMBIA,1933,SMALLPOX,2
DISTRICT OF COLUMBIA,1934,SMALLPOX,0
DISTRICT OF COLUMBIA,1935,SMALLPOX,0
DISTRICT OF COLUMBIA,1936,SMALLPOX,4
DISTRICT OF COLUMBIA,1937,SMALLPOX,0
DISTRICT OF COLUMBIA,1938,SMALLPOX,0
