state_name,mmr_rate,year
ALABAMA,88.9,1995
ALASKA,89.9,1995
ARIZONA,82.7,1995
ARKANSAS,90.8,1995
CALIFORNIA,90.2,1995
COLORADO,88.8,1995
CONNECTICUT,94,1995
DELAWARE,85.8,1995
DISTRICT OF COLUMBIA,89.2,1995
FLORIDA,90.5,1995
GEORGIA,91.5,1995
HAWAII,93.7,1995
IDAHO,87.7,1995
ILLINOIS,90.7,1995
INDIANA,88.1,1995
IOWA,91.2,1995
KANSAS,86.5,1995
KENTUCKY,88.7,1995
LOUISIANA,88.4,1995
MAINE,98.2,1995
MARYLAND,92.4,1995
MASSACHUSETTS,93.9,1995
MICHIGAN,85.9,1995
MINNESOTA,91.3,1995
MISSISSIPPI,89.5,1995
MISSOURI,91.2,1995
MONTANA,88.1,1995
NEBRASKA,90,1995
NEVADA,85.7,1995
NEW HAMPSHIRE,95.8,1995
NEW JERSEY,90.1,1995
NEW MEXICO,86.6,1995
NEW YORK,91.5,1995
NORTH CAROLINA,91.7,1995
NORTH DAKOTA,90.4,1995
OHIO,89.1,1995
OKLAHOMA,86.6,1995
OREGON,87.6,1995
PENNSYLVANIA,92.4,1995
RHODE ISLAND,95.9,1995
SOUTH CAROLINA,89,1995
SOUTH DAKOTA,88.3,1995
TENNESSEE,88.4,1995
TEXAS,88,1995
UTAH,84.8,1995
VERMONT,95.8,1995
VIRGINIA,83.4,1995
WASHINGTON,89.2,1995
WEST VIRGINIA,90.5,1995
WISCONSIN,92.1,1995
WYOMING,91.9,1995
ALABAMA,90.1,1996
ALASKA,83.7,1996
ARIZONA,85.2,1996
ARKANSAS,85.3,1996
CALIFORNIA,90.5,1996
COLORADO,88.6,1996
CONNECTICUT,96.5,1996
DELAWARE,90.2,1996
DISTRICT OF COLUMBIA,92.3,1996
FLORIDA,89.8,1996
GEORGIA,91.2,1996
HAWAII,92.4,1996
IDAHO,83,1996
ILLINOIS,89.4,1996
INDIANA,85.5,1996
IOWA,91.6,1996
KANSAS,86.1,1996
KENTUCKY,91.6,1996
LOUISIANA,88.3,1996
MAINE,95.2,1996
MARYLAND,91.3,1996
MASSACHUSETTS,97.1,1996
MICHIGAN,89.6,1996
MINNESOTA,95.5,1996
MISSISSIPPI,93,1996
MISSOURI,87,1996
MONTANA,87.1,1996
NEBRASKA,90.9,1996
NEVADA,82.2,1996
NEW HAMPSHIRE,93.4,1996
NEW JERSEY,91.2,1996
NEW MEXICO,88.9,1996
NEW YORK,94.9,1996
NORTH CAROLINA,89.1,1996
NORTH DAKOTA,89.2,1996
OHIO,92.9,1996
OKLAHOMA,87.6,1996
OREGON,85.3,1996
PENNSYLVANIA,91.1,1996
RHODE ISLAND,95.9,1996
SOUTH CAROLINA,94.3,1996
SOUTH DAKOTA,92.5,1996
TENNESSEE,89.7,1996
TEXAS,88.2,1996
UTAH,84.6,1996
VERMONT,93,1996
VIRGINIA,88.1,1996
WASHINGTON,91,1996
WEST VIRGINIA,87.4,1996
WISCONSIN,89.8,1996
WYOMING,86.9,1996
ALABAMA,93.7,1997
ALASKA,86.8,1997
ARIZONA,88,1997
ARKANSAS,92.2,1997
CALIFORNIA,88.4,1997
COLORADO,93.3,1997
CONNECTICUT,93,1997
DELAWARE,91.2,1997
DISTRICT OF COLUMBIA,89.4,1997
FLORIDA,90.1,1997
GEORGIA,91.2,1997
HAWAII,90.7,1997
IDAHO,87.5,1997
ILLINOIS,88.7,1997
INDIANA,88.5,1997
IOWA,89.5,1997
KANSAS,93.9,1997
KENTUCKY,89.1,1997
LOUISIANA,88,1997
MAINE,94.8,1997
MARYLAND,95,1997
MASSACHUSETTS,95.8,1997
MICHIGAN,89.1,1997
MINNESOTA,91.5,1997
MISSISSIPPI,90.6,1997
MISSOURI,90.2,1997
MONTANA,86.7,1997
NEBRASKA,89.1,1997
NEVADA,87.9,1997
NEW HAMPSHIRE,95.2,1997
NEW JERSEY,93.6,1997
NEW MEXICO,83.7,1997
NEW YORK,92.6,1997
NORTH CAROLINA,94.2,1997
NORTH DAKOTA,90.7,1997
OHIO,88.5,1997
OKLAHOMA,87.4,1997
OREGON,87.4,1997
PENNSYLVANIA,91.8,1997
RHODE ISLAND,95.8,1997
SOUTH CAROLINA,90.5,1997
SOUTH DAKOTA,90.3,1997
TENNESSEE,90.2,1997
TEXAS,87.6,1997
UTAH,86,1997
VERMONT,95,1997
