city,state,lat,lon,year,month,cases,reason,citation
Payson,Arizona,34.04893,-111.09373,2012,July,1,unclear,http://azdailysun.com/news/local/measles-case-surfaces-in-flagstaff/article_e1b77779-6dcf-50b6-9139-2ccea376fbf3.html
Searcy,Arkansas,35.20523,-91.82562,2012,August,2,unvaccinated,http://www.katv.com/story/19421520/measles-cases-confirmed
Encino,California,34.17053,-118.53234,2012,April,2,travel and unvaccinated,http://www.dailynews.com/health/ci_20492252/providence-tarzana-medical-center-reports-2-cases-measles
Clayton,Delaware,39.29067,-75.63437,2012,January,1,unclear,http://abclocal.go.com/wpvi/story?section=news/health&id=8522260&rss=rss-wpvi-article-8522260
Lebanon,Indiana,40.01062,-86.49965,2012,February,16,unclear,http://www.in.gov/activecalendar/EventList.aspx?view=EventDetails&eventidn=53452&information_id=107209&type=&syndicate=syndicate
Garden City,Kansas,37.97169,-100.87266,2012,January,6,N/A,http://www.kake.com/news/headlines/Health_Officials_Investigate_Measles_Outbreak_In_Finney_County_138063683.html
Keego Harbor,Michigan,42.59219,-83.33619,2012,January,1,travel,http://www.clickondetroit.com/lifestyle/health/Measles-case-confirmed-in-Oakland-County/-/2300442/8488876/-/s9cmc3/-/
Albuquerque,New Mexico,34.52452,-105.87962,2012,January,1,N/A,http://www.kasa.com/dpps/news/news_health/measles-case-reported-in-northern-nm_4220132
Kingston,New York,41.86438,-74.32843,2012,September,1,unclear,http://7online.com/archive/8820413/
Longview,Washington,46.1746472,-122.7746902,2012,November,1,unclear,http://tdn.com/news/local/measles-case-identified-at-woodland-primary-school/article_30b89f9a-2489-11e2-8370-0019bb2963f4.html
