city,state,lat,lon,year,month,cases,reason,citation
Mobile,Alabama,30.61118,-90.00299,2014,May,1,travel,http://www.myfoxal.com/story/25541894/health-officials-urge-vaccinations-after-measles-cases-triple
Phoenix,Arizona,33.44838,-112.07404,2014,April,1,unvaccinated,http://ktar.com/22/1721718/Officials-warn-of-possible-measles-outbreak-in-Phoenix
Contra Costa,California,37.85341,-121.9018,2014,March,4,travel,"http://www.latimes.com/local/lanow/la-me-ln-measles-rise-california-health-20140314,0,1321049.story#axzz2w3E61b1Y"
Riverside,California,33.95335,-117.39616,2014,March,3,travel,http://www.latimes.com/local/la-me-measles-20140222-story.html#axzz2ucvjtrHY
San Mateo,California,37.56299,-122.32553,2014,March,5,travel,"http://www.latimes.com/local/lanow/la-me-ln-measles-rise-california-health-20140314,0,1321049.story#axzz2w3E61b1Y"
Alameda,California,37.60169,-121.71955,2014,April,4,unvaccinated,http://www.scpr.org/news/2014/04/18/43606/of-58-measles-cases-in-ca-19-were-intentionally-un/
Los Angeles,California,34.38718,-118.11227,2014,March,10,travel,"http://www.latimes.com/local/la-me-measles-20140222,0,1197753.story#axzz2ucvjtrHY"
Santa Clara,California,37.35411,-121.95524,2014,March,1,travel,"http://www.latimes.com/local/la-me-measles-20140222,0,1197753.story#axzz2ucvjtrHY"
Monterey,California,36.60024,-121.89468,2014,April,2,unvaccinated,http://www.scpr.org/news/2014/04/18/43606/of-58-measles-cases-in-ca-19-were-intentionally-un/
Orange,California,33.71747,-117.83114,2014,March,22,unvaccinated,http://www.examiner.com/article/measles-cases-continue-to-increase
San Diego,California,32.71533,-117.15726,2014,March,6,unvaccinated,http://www.sandiego6.com/news/local/Measles-cases-on-the-rise-in-California-252586951.html
Fresno,California,36.746842,-119.772587,2014,March,4,unvaccinated,http://www.hcplive.com/articles/CDC-Measles-Cases-at-Airport-Highlight-Ease-of-Transmission
Fairfield,Connecticut,41.14084,-73.26126,2014,March,2,unvaccinated,http://www.wfsb.com/story/24936061/2-cases-of-measles-reported-in-ct
New Haven,Connecticut,41.32669,-72.80428,2014,April,1,unvaccinated,http://connecticut.news12.com/measles-cases-reported-in-southwestern-ct-1.7858942
Waimea,Hawaii,19.89677,-155.58278,2014,February,1,travel,http://www.pacificnewscenter.com/index.php?option=com_content&view=article&id=42311
Kauai,Hawaii,22.0833,-159.5,2014,October,12,unvaccinated,http://www.kitv.com/news/New-measles-case-reported-on-Oahu/29737224
Macomb,Illinois,40.38851,-90.6773,2014,March,2,unvaccinated,http://tristatesradio.com/post/another-measles-case-mcdonough-county
Kansas City,Kansas,38.84541,-94.85206,2014,June,27,unvaccinated,http://www.kansas.com/2014/06/24/3523983/wichita-area-health-officials.html
Cambridge,Massachusetts,42.36009,-71.09416,2014,February,1,unclear,http://web.mit.edu/newsoffice/2014/experts-see-low-risk-to-community-from-mit-measles-case.html
Framingham,Massachusetts,42.27929,-71.41616,2014,February,2,unclear,http://www.bostonherald.com/news_opinion/local_coverage/2014/02/dph_measles_traced_to_trader_joe_s_in_framingham
