State,MMR_rates
Alabama,89.7
Alaska,90.5
Arizona,91.4
Arkansas,88.3
California,90.7
Colorado,86.0
Connecticut,91.4
Delaware,94.8
Dist. of Columbia,96.2
Florida,93.4
Georgia,93.9
Hawaii,92.8
Idaho,91.1
Illinois,91.4
Indiana,92.0
Iowa,94.5
Kansas,89.4
Kentucky,89.5
Louisiana,88.1
Maine,91.0
Maryland,95.3
Massachusetts,95.8
Michigan,89.2
Minnesota,90.8
Mississippi,95.2
Missouri,89.8
Montana,87.3
Nebraska,92.5
Nevada,90.4
New Hampshire,96.3
New Jersey,95.6
New Mexico,89.1
New York,95.5
North Carolina,96.0
North Dakota,91.4
Ohio,86.0
Oklahoma,89.8
Oregon,89.4
Pennsylvania,93.3
Rhode Island,95.6
South Carolina,89.2
South Dakota,93.1
Tennessee,92.3
Texas,92.7
Utah,92.6
Vermont,91.2
Virginia,88.6
Washington,93.5
West Virginia,86.0
Wisconsin,93.2
Wyoming,89.0
