state_name,year,disease,incidence_per_capita
ALABAMA,1968,MUMPS,0.36227272727272725
ALABAMA,1969,MUMPS,0.1851351351351352
ALABAMA,1970,MUMPS,0.2196078431372549
ALABAMA,1971,MUMPS,0.5680392156862746
ALABAMA,1972,MUMPS,0.47439999999999993
ALABAMA,1973,MUMPS,0.4255102040816326
ALABAMA,1974,MUMPS,0.33319999999999994
ALABAMA,1975,MUMPS,0.23403846153846147
ALABAMA,1976,MUMPS,0.19807692307692312
ALABAMA,1977,MUMPS,0.15079999999999996
ALABAMA,1978,MUMPS,0.22156862745098038
ALABAMA,1979,MUMPS,0.015098039215686282
ALABAMA,1980,MUMPS,0.019574468085106385
ALABAMA,1981,MUMPS,0.012142857142857143
ALABAMA,1982,MUMPS,0.006304347826086958
ALABAMA,1983,MUMPS,0.0022222222222222222
ALABAMA,1984,MUMPS,0.003409090909090909
ALABAMA,1985,MUMPS,0.002
ALABAMA,1986,MUMPS,0.0018181818181818182
ALABAMA,1987,MUMPS,0.03166666666666667
ALABAMA,1988,MUMPS,0.008367346938775512
ALABAMA,1989,MUMPS,0.013200000000000005
ALABAMA,1990,MUMPS,0.008749999999999999
ALABAMA,1991,MUMPS,0.006170212765957446
ALABAMA,1992,MUMPS,0.005681818181818181
ALABAMA,1993,MUMPS,0.010000000000000002
ALABAMA,1994,MUMPS,0.009666666666666665
ALABAMA,1995,MUMPS,0.0008163265306122449
ALABAMA,1996,MUMPS,0.003
ALABAMA,1997,MUMPS,0.003404255319148936
ALABAMA,1998,MUMPS,0.0038095238095238095
ALABAMA,1999,MUMPS,0.005454545454545454
ALABAMA,2000,MUMPS,0.0016666666666666668
ALABAMA,2002,MUMPS,0.0008695652173913044
ALASKA,1968,MUMPS,4.844807692307694
ALASKA,1969,MUMPS,7.5809756097560985
ALASKA,1970,MUMPS,1.838599999999999
ALASKA,1971,MUMPS,0.6097872340425533
ALASKA,1972,MUMPS,1.5742857142857143
ALASKA,1973,MUMPS,5.012941176470587
ALASKA,1974,MUMPS,0.8089795918367348
ALASKA,1975,MUMPS,0.25470588235294117
ALASKA,1976,MUMPS,0.19265306122448977
ALASKA,1977,MUMPS,0.16470588235294117
ALASKA,1978,MUMPS,0.078125
ALASKA,1979,MUMPS,0.08152173913043478
ALASKA,1980,MUMPS,0.07979166666666669
ALASKA,1981,MUMPS,0.09545454545454546
ALASKA,1982,MUMPS,0.07723404255319151
ALASKA,1983,MUMPS,0.06395833333333333
ALASKA,1984,MUMPS,0.06708333333333333
ALASKA,1985,MUMPS,0.036938775510204074
ALASKA,1986,MUMPS,0.04155555555555556
ALASKA,1987,MUMPS,0.03395348837209302
ALASKA,1988,MUMPS,0.0508
ALASKA,1989,MUMPS,0.006
ALASKA,1990,MUMPS,0.03789473684210526
ALASKA,1991,MUMPS,0.05680851063829787
ALASKA,1992,MUMPS,0.017
ALASKA,1993,MUMPS,0.03854166666666666
ALASKA,1994,MUMPS,0.013877551020408165
ALASKA,1995,MUMPS,0.0425531914893617
ALASKA,1996,MUMPS,0.01
ALASKA,1997,MUMPS,0.015238095238095238
ALASKA,1998,MUMPS,0.006956521739130435
ALASKA,1999,MUMPS,0.010212765957446808
ALASKA,2000,MUMPS,0.03368421052631578
ALASKA,2001,MUMPS,0.004
ARIZONA,1968,MUMPS,2.3942
ARIZONA,1969,MUMPS,2.467959183673468
ARIZONA,1970,MUMPS,1.0412
ARIZONA,1971,MUMPS,1.216666666666667
ARIZONA,1972,MUMPS,0.9195999999999998
ARIZONA,1973,MUMPS,0.14999999999999997
ARIZONA,1978,MUMPS,0.023555555555555562
ARIZONA,1979,MUMPS,0.04739999999999999
ARIZONA,1980,MUMPS,0.03160000000000002
ARIZONA,1981,MUMPS,0.026595744680851078
ARIZONA,1982,MUMPS,0.040980392156862756
ARIZONA,1983,MUMPS,0.061249999999999964
ARIZONA,1984,MUMPS,0.12431372549019608
ARIZONA,1985,MUMPS,0.07294117647058825
ARIZONA,1986,MUMPS,0.118
ARIZONA,1987,MUMPS,0.1064
ARIZONA,1988,MUMPS,0.07745098039215687
ARIZONA,1989,MUMPS,0.0692156862745098
ARIZONA,1990,MUMPS,0.06816326530612243
ARIZONA,1991,MUMPS,0.07913043478260863
ARIZONA,1992,MUMPS,0.03533333333333334
ARIZONA,1993,MUMPS,0.01
ARIZONA,1994,MUMPS,0.070625
ARIZONA,1995,MUMPS,0.003181818181818182
ARIZONA,1996,MUMPS,0.00046511627906976747
ARIZONA,1997,MUMPS,0.02060606060606061
ARIZONA,1998,MUMPS,0.0025531914893617024
ARIZONA,1999,MUMPS,0.012307692307692308
ARIZONA,2000,MUMPS,0.0036363636363636364
ARIZONA,2001,MUMPS,0.0006666666666666666
ARIZONA,2002,MUMPS,0.0
ARKANSAS,1968,MUMPS,0.07692307692307694
ARKANSAS,1969,MUMPS,0.27294117647058824
ARKANSAS,1970,MUMPS,0.1717391304347826
ARKANSAS,1971,MUMPS,0.15999999999999995
ARKANSAS,1972,MUMPS,0.21958333333333332
ARKANSAS,1973,MUMPS,0.31568627450980385
ARKANSAS,1974,MUMPS,0.1744897959183673
ARKANSAS,1975,MUMPS,0.16461538461538464
ARKANSAS,1976,MUMPS,0.07591836734693877
ARKANSAS,1977,MUMPS,0.1484444444444444
ARKANSAS,1978,MUMPS,0.5535999999999999
ARKANSAS,1979,MUMPS,0.5488235294117645
ARKANSAS,1980,MUMPS,0.021836734693877556
ARKANSAS,1981,MUMPS,0.0116
ARKANSAS,1982,MUMPS,0.006530612244897959
ARKANSAS,1983,MUMPS,0.0016326530612244899
ARKANSAS,1984,MUMPS,0.007499999999999999
ARKANSAS,1985,MUMPS,0.005686274509803921
ARKANSAS,1986,MUMPS,0.16702127659574467
ARKANSAS,1987,MUMPS,0.2735555555555554
ARKANSAS,1988,MUMPS,0.12340425531914892
ARKANSAS,1989,MUMPS,0.1703921568627451
ARKANSAS,1990,MUMPS,0.11599999999999999
ARKANSAS,1991,MUMPS,0.04136363636363637
ARKANSAS,1992,MUMPS,0.0071111111111111115
ARKANSAS,1993,MUMPS,0.0036363636363636364
ARKANSAS,1994,MUMPS,0.007692307692307693
ARKANSAS,1995,MUMPS,0.011764705882352941
ARKANSAS,1996,MUMPS,0.0026666666666666666
ARKANSAS,1997,MUMPS,0.0
ARKANSAS,1998,MUMPS,0.017499999999999998
ARKANSAS,2000,MUMPS,0.004634146341463414
ARKANSAS,2001,MUMPS,0.001
CALIFORNIA,1968,MUMPS,1.7076470588235289
CALIFORNIA,1969,MUMPS,0.7970588235294117
CALIFORNIA,1970,MUMPS,0.5994117647058826
CALIFORNIA,1971,MUMPS,0.7156862745098039
CALIFORNIA,1972,MUMPS,0.6803999999999998
CALIFORNIA,1973,MUMPS,0.5252941176470588
CALIFORNIA,1974,MUMPS,0.23120000000000007
CALIFORNIA,1975,MUMPS,0.3269230769230769
CALIFORNIA,1976,MUMPS,0.15192307692307686
CALIFORNIA,1977,MUMPS,0.0736
CALIFORNIA,1978,MUMPS,0.04307692307692309
CALIFORNIA,1979,MUMPS,0.03711538461538463
CALIFORNIA,1980,MUMPS,0.032352941176470605
CALIFORNIA,1981,MUMPS,0.03265306122448981
CALIFORNIA,1982,MUMPS,0.031176470588235312
CALIFORNIA,1983,MUMPS,0.024000000000000007
CALIFORNIA,1984,MUMPS,0.027058823529411774
CALIFORNIA,1985,MUMPS,0.02653846153846155
CALIFORNIA,1986,MUMPS,0.021372549019607855
CALIFORNIA,1987,MUMPS,0.024200000000000013
CALIFORNIA,1988,MUMPS,0.02882352941176472
CALIFORNIA,1989,MUMPS,0.023333333333333345
CALIFORNIA,1990,MUMPS,0.03260000000000002
CALIFORNIA,1991,MUMPS,0.026734693877551036
CALIFORNIA,1992,MUMPS,0.014285714285714292
CALIFORNIA,1993,MUMPS,0.010800000000000006
CALIFORNIA,1994,MUMPS,0.00918367346938776
CALIFORNIA,1995,MUMPS,0.01333333333333334
CALIFORNIA,1996,MUMPS,0.006458333333333336
CALIFORNIA,1997,MUMPS,0.006530612244897961
CALIFORNIA,1998,MUMPS,0.003478260869565218
CALIFORNIA,1999,MUMPS,0.002448979591836734
CALIFORNIA,2000,MUMPS,0.0032
CALIFORNIA,2001,MUMPS,0.0016326530612244899
CALIFORNIA,2002,MUMPS,0.0034693877551020416
COLORADO,1968,MUMPS,2.7612499999999986
COLORADO,1969,MUMPS,0.8258333333333333
COLORADO,1970,MUMPS,1.3064705882352938
COLORADO,1971,MUMPS,1.2866666666666662
COLORADO,1972,MUMPS,0.6609999999999998
COLORADO,1973,MUMPS,0.46588235294117636
COLORADO,1974,MUMPS,0.45900000000000013
COLORADO,1975,MUMPS,0.49288461538461514
COLORADO,1976,MUMPS,0.20470588235294124
COLORADO,1977,MUMPS,0.21823529411764694
COLORADO,1978,MUMPS,0.12294117647058826
COLORADO,1979,MUMPS,0.08019999999999997
COLORADO,1980,MUMPS,0.04176470588235295
COLORADO,1981,MUMPS,0.030851063829787247
COLORADO,1982,MUMPS,0.013333333333333336
COLORADO,1983,MUMPS,0.031458333333333345
COLORADO,1984,MUMPS,0.020217391304347833
COLORADO,1985,MUMPS,0.015600000000000004
COLORADO,1986,MUMPS,0.011250000000000003
COLORADO,1987,MUMPS,0.0207843137254902
COLORADO,1988,MUMPS,0.021428571428571436
COLORADO,1989,MUMPS,0.03900000000000001
COLORADO,1990,MUMPS,0.018260869565217396
COLORADO,1991,MUMPS,0.08893617021276597
COLORADO,1992,MUMPS,0.020222222222222228
COLORADO,1993,MUMPS,0.008444444444444445
COLORADO,1994,MUMPS,0.0029032258064516127
COLORADO,1995,MUMPS,0.0014285714285714286
COLORADO,1996,MUMPS,0.0025714285714285713
COLORADO,1997,MUMPS,0.0012244897959183673
COLORADO,1998,MUMPS,0.0054285714285714284
COLORADO,1999,MUMPS,0.002127659574468085
