State,MMR_rates
Alabama,93.6
Alaska,88.4
Arizona,92.2
Arkansas,92.2
California,92.7
Colorado,92.3
Connecticut,95.3
Delaware,93.1
Dist. of Columbia,89.7
Florida,91.7
Georgia,92.7
Hawaii,94.8
Idaho,86.1
Illinois,91.0
Indiana,88.0
Iowa,91.4
Kansas,91.9
Kentucky,90.2
Louisiana,94.2
Maine,91.8
Maryland,94.5
Massachusetts,94.4
Michigan,88.1
Minnesota,91.8
Mississippi,89.3
Missouri,91.7
Montana,85.9
Nebraska,91.9
Nevada,88.0
New Hampshire,94.8
New Jersey,89.9
New Mexico,90.6
New York,92.2
North Carolina,92.2
North Dakota,90.6
Ohio,93.9
Oklahoma,92.3
Oregon,92.0
Pennsylvania,92.2
Rhode Island,93.7
South Carolina,88.5
South Dakota,93.7
Tennessee,95.6
Texas,93.7
Utah,90.8
Vermont,88.1
Virginia,92.3
Washington,91.2
West Virginia,88.3
Wisconsin,94.3
Wyoming,87.6
