city,state,lat,lon,year,month,cases,reason,citation
Coffeyville,U.S.,37.09024,-95.712891,2011,January,98,travel,http://www.healthnews.com/Categories/Alerts-Updates/US-Part-of-Growing-Spread-of-Global-Measles-Outbreak
Fresno,California,36.778261,-119.417932,2011,January,28,travel and unvaccinated community,"http://www.latimes.com/news/local/la-me-measles-20110922,0,6705186.story"
Orlando,Florida,27.664827,-81.015754,2011,April,1,unclear,"http://www.orlandosentinel.com/health/os-orlando-measles-20110513,0,585164.story"
Marion,Indiana,40.551217,-85.602364,2011,July,14,travel and unvaccinated community,http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6034a5.htm
Des Moines,Iowa,41.878003,-93.097702,2011,May,1,unclear,http://blog.iowahospital.org/2011/05/24/todays-newsstand-may-24-2011/
Olathe,Kansas,38.845412,-94.852064,2011,May,2,N/A,http://www.kmbc.com/r/27745305/detail.html
Monson,Maine,45.253783,-69.445469,2011,July,1,travel,http://www.maine.gov/tools/whatsnew/index.php?topic=Portal+News&id=272233&v=article-2008
Millersville,Maryland,39.04575,-76.64127,2011,August,2,unvaccinated,http://www.wjla.com/articles/2011/09/two-measles-cases-confirmed-in-montgomery-county-66025.html
Lincoln,Massachusetts,42.407211,-71.3002437,2011,January,10,N/A,http://www.bostonherald.com/business/healthcare/view.bg?articleid=1336971&srvc=business&position=recent
Concord,Massachusetts,42.407211,-71.382437,2011,May,2,N/A,http://www.bostonherald.com/news/regional/view/201105262_more_measles_cases_reported_in_massachusetts/srvc=home&position=recent
Boon,Michigan,44.314844,-85.602364,2011,July,3,N/A,http://pediatrics.about.com/b/2011/04/07/measles-case-count.htm
Minneapolis,Minnesota,44.979965,-93.263836,2011,March,21,N/A,http://kstp.com/article/stories/s2076092.shtml
Foot Hills,Minnesota,46.72955,-94.6859,2011,October,21,N/A,http://www.skinandallergynews.com/news/medical-dermatology/single-article/measles-called-eliminated-in-us-despite-outbreak/12550505d6.html
Jackson,New Jersey,40.058324,-74.405661,2011,January,4,travel,http://www.paramuspost.com/article.php/20110701163335826
Santa Rosa,New Mexico,34.97273,-105.032364,2011,September,1,N/A,http://www.kob.com/article/stories/S2288730.shtml
New York,New York,40.714353,-73.995973,2011,March,2,unclear,http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6020a7.htm
New York,New York,40.714353,-74.025973,2011,May,1,unclear,http://www.health.ny.gov/press/releases/2011/2011-05-17_confirms_measles.htm
Newark,New York,40.714353,-74.15973,2011,May,1,N/A,http://www.officialwire.com/main.php?action=posted_news&rid=53181&catid=60
Sayville,New York,40.714353,-73.005973,2011,July,1,N/A,http://www.ny1.com/content/top_stories/140597/doh--higher-number-of-measles-cases-reported
New York City,New York,40.65001,-73.95001,2011,October,6,travel and unvaccinated community,http://cityroom.blogs.nytimes.com/2011/10/21/health-department-reports-spike-in-measles-cases-in-brooklyn/
Loysville,Pennsylvania,40.371376,-77.240515,2011,February,5,unvaccinated,http://www.pennlive.com/perry-county-times/index.ssf/2011/02/health_department_acts_to_cont.html
Quakertown,Pennsylvania,40.4108,-75.24791,2011,May,4,unclear,http://www.cidrap.umn.edu/cidrap/content/other/news/may0611measles.html
North Kingstown,Rhode Island,41.580095,-71.477429,2011,April,1,travel,http://abcnews.go.com/Health/w_ParentingResource/measles-outbreak-jersey-rhode-island-warn-people-watch/story?id=13493663
Shelbyville,Tennessee,35.517491,-86.580447,2011,March,2,N/A,http://www.wkrn.com/story/14665577/number-of-measles-cases-on-the-rise
Winters,Texas,31.968599,-99.901813,2011,April,1,unclear,http://www.chron.com/disp/story.mpl/metropolitan/7503980.html
Price,Utah,39.32098,-111.09373,2011,March,4,N/A,http://www.skinandallergynews.com/news/medical-dermatology/single-article/measles-called-eliminated-in-us-despite-outbreak/12550505d6.html
Logan,Utah,41.756,-111.76147,2011,July,6,N/A,"http://www.fox13now.com/news/local/kstu-utah-measles-6-cases-of-measles-confirmed-in-cache-county-20110711,0,2777089.story"
Buckingham,Virginia,37.431573,-78.656894,2011,May,3,travel,http://www.newsplex.com/home/headlines/Confirmed_Cases_of_Measles_in_Charlottesville_122652194.html
Fond du Lac,Wisconsin,43.78444,-88.78787,2011,September,3,N/A,http://www.nbc15.com/state/headlines/Measles_Cases_Traced_to_Unvaccinated_Tot_130397013.html
Geneva,Indiana,40.55122,-85.0236,2011,June,5,travelandunvaccinated,"http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6034a5.htm?s_cid=mm6034a5_e&source=govdelivery"
